variant,label,size,train_metadata,eval_metadata,mean_target_distance,median_target_distance,mean_target_rank,top1_rate_pct,top3_rate_pct,unique_projection_points
maple_1b_tminus_eminus,"MAPLE 1B (T-, I-)",1B,False,False,6.914406148610863,6.7704034248014375,8.0,6.666666666666668,20.0,1
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",1B,True,True,1.4160535995250634,1.1597361732881086,8.533333333333333,0.0,20.0,12
maple_3b_tminus_eminus,"MAPLE 3B (T-, I-)",3B,False,False,5.7943341803467705,5.920597880042799,8.0,6.666666666666668,20.0,2
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",3B,True,True,2.605668447341038,2.452398636454864,8.333333333333334,6.666666666666668,20.0,4
