variant,label,model_path,size,train_metadata,eval_metadata,n_countries,mean_target_distance,median_target_distance,mean_target_rank,top1_rate,top3_rate
maple_1b_tminus_eminus,"MAPLE 1B (T-, I-)",/path/to/metacul/models/combined_without_metadata_1b,1B,False,False,15,6.914406148610863,6.7704034248014375,8.0,0.06666666666666668,0.2
maple_1b_tplus_eplus,"MAPLE 1B (T+, I+)",/path/to/metacul/models/combined_with_metadata_1b,1B,True,True,15,1.4160535995250634,1.1597361732881086,8.533333333333333,0.0,0.2
maple_3b_tminus_eminus,"MAPLE 3B (T-, I-)",/path/to/metacul/models/combined_without_metadata_3b,3B,False,False,15,5.7943341803467705,5.920597880042799,8.0,0.06666666666666668,0.2
maple_3b_tplus_eplus,"MAPLE 3B (T+, I+)",/path/to/metacul/models/combined_with_metadata_3b,3B,True,True,15,2.605668447341038,2.452398636454864,8.333333333333334,0.06666666666666668,0.2
