benchmark,protocol,family,seed,comparison,metric,direction,positive_variant,negative_variant,positive_metric,negative_metric,delta_positive_better,requirement_satisfied,valid_for_comparison,positive_rows,negative_rows,positive_constant_score_rate,negative_constant_score_rate,positive_first_option_prediction_rate,negative_first_option_prediction_rate,positive_tokenizer_sources,negative_tokenizer_sources,positive_tokenizer_classes,negative_tokenizer_classes,positive_tokenizer_vocab_sizes,negative_tokenizer_vocab_sizes,notes,positive_jsonl,negative_jsonl,run_dir
geomlama,legacy_a025,maple_1b_chat,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.4666666667,0.35,0.1166666667,1,1,120,120,0,0.008333333333,0.5416666667,0.5583333333,/path/to/metacul/models/sft/combined_with_metadata_chat,/path/to/metacul/models/sft/combined_without_metadata_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_seed41_120/geomlama/legacy_a025/maple_1b_chat/seed_41/geomlama/geomlama_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/geomlama/legacy_a025/maple_1b_chat/seed_41/geomlama/geomlama_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/geomlama/legacy_a025/maple_1b_chat/seed_41/geomlama
geomlama,strict_country_a2_b1,maple_3b_chat,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.3833333333,0.325,0.05833333333,1,1,120,120,0.008333333333,0,0.25,0.2583333333,/path/to/metacul/models/sft/combined_with_metadata_3b_best3b_chat,/path/to/metacul/models/sft/combined_without_metadata_3b_best3b_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_seed41_120/geomlama/strict_country_a2_b1/maple_3b_chat/seed_41/geomlama/geomlama_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/geomlama/strict_country_a2_b1/maple_3b_chat/seed_41/geomlama/geomlama_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/geomlama/strict_country_a2_b1/maple_3b_chat/seed_41/geomlama
