benchmark,protocol,family,seed,comparison,metric,direction,positive_variant,negative_variant,positive_metric,negative_metric,delta_positive_better,requirement_satisfied,valid_for_comparison,positive_rows,negative_rows,positive_constant_score_rate,negative_constant_score_rate,positive_first_option_prediction_rate,negative_first_option_prediction_rate,positive_tokenizer_sources,negative_tokenizer_sources,positive_tokenizer_classes,negative_tokenizer_classes,positive_tokenizer_vocab_sizes,negative_tokenizer_vocab_sizes,notes,positive_jsonl,negative_jsonl,run_dir
geomlama,figure9_1b,maple_1b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.4333333333,0.2416666667,0.1916666667,1,1,120,120,0,0.008333333333,0.4166666667,0.3666666667,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-1B,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/figure9_1b/maple_1b/seed_41/geomlama/geomlama_custom_tplus_eplus.jsonl,results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/figure9_1b/maple_1b/seed_41/geomlama/geomlama_custom_tminus_eminus.jsonl,results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/figure9_1b/maple_1b/seed_41/geomlama
geomlama,letter_legacy,maple_3b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.3916666667,0.3416666667,0.05,1,1,120,120,0.01666666667,0.008333333333,0.7833333333,0.6083333333,/path/to/metacul/models/combined_with_metadata_3b,/path/to/metacul/models/combined_without_metadata_3b,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/letter_legacy/maple_3b/seed_41/geomlama/geomlama_custom_tplus_eplus.jsonl,results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/letter_legacy/maple_3b/seed_41/geomlama/geomlama_custom_tminus_eminus.jsonl,results/external_protocol_probes_tokenizerfix_20260504_120/geomlama/letter_legacy/maple_3b/seed_41/geomlama
