checkpoint,overall_T+/I+,overall_T-/I-,explicit_T+/I+,explicit_T-/I-,ambiguous_T+/I+,ambiguous_T-/I-,overall_delta_pp,explicit_delta_pp,ambiguous_delta_pp
500,0.31023229026684584,0.2830903238023102,0.31023229026684584,0.2830903238023102,0.0,0.0,2.7141966464535647,2.7141966464535647,0.0
1500,0.3287204171680706,0.2819541753455785,0.3287204171680706,0.2819541753455785,0.0,0.0,4.676624182249212,4.676624182249212,0.0
2500,0.36238293444328823,0.2831550136849963,0.36238293444328823,0.2831550136849963,0.0,0.0,7.922792075829194,7.922792075829194,0.0
3500,,0.3614649681528662,,0.3614649681528662,,0.0,,,
4500,0.3696670135275754,,0.3696670135275754,,0.0,,,,
7764,0.36036036036036034,0.3481781376518219,0.36036036036036034,0.3481781376518219,0.0,0.0,1.218222270853847,1.218222270853847,0.0
