family,n_switch_pairs,exact_pair_delta_pp,exact_pair_ci_low_pp,exact_pair_ci_high_pp,margin_switch_delta_pp,margin_switch_ci_low_pp,margin_switch_ci_high_pp
MAPLE 1B,1700,1.6823529411764706,1.2,2.1999999999999997,7.776470588235296,6.68235294117647,8.917941176470585
MAPLE 3B,1700,8.776470588235293,7.764705882352942,9.858823529411765,24.129411764705885,22.494117647058825,25.78823529411765
