family,split,lhs_variant,rhs_variant,lhs_accuracy_pct,rhs_accuracy_pct,delta_pp,ci_low_pp,ci_high_pp,relative_error_reduction_pct,paired_effect_d,bootstrap_p,significant_95,n_items
1B,overall,tplus_eplus,tminus_eminus,34.44778948542119,32.24842504320678,2.199364442214417,1.883258069911356,2.518272286335507,3.2462189161167156,0.07065423968488985,0.0,True,35874
1B,overall,tplus_eplus,tplus_eminus,34.44778948542119,33.26141495233316,1.1863745330880304,0.9382839939789263,1.4244438869376148,1.7776441203251219,0.051445198018908005,0.0,True,35874
1B,overall,tplus_eplus,tminus_eplus,34.44778948542119,32.74460612142499,1.703183363996209,1.3887355745107877,2.0209622567876453,2.532411552107165,0.055764030029357696,0.0,True,35874
1B,explicit,tplus_eplus,tminus_eminus,30.762907783200617,30.193680965836116,0.5692268173645003,0.13460056511687635,1.000796301053172,0.8154373776475956,0.018723191030604207,0.0108,True,19465
1B,explicit,tplus_eplus,tplus_eminus,30.762907783200617,30.476239404058564,0.28666837914204985,-0.01749293603904447,0.5959671204726428,0.412331520454008,0.012881496609524198,0.0676,False,19465
1B,explicit,tplus_eplus,tminus_eplus,30.762907783200617,29.992293860775753,0.770613922424865,0.3421525815566401,1.2073208322630358,1.1007558523519483,0.025525290636518802,0.0,True,19465
1B,ambiguous,tplus_eplus,tminus_eminus,38.81894082515693,34.68584313486501,4.133097690291914,3.6540617953562076,4.634072764946065,6.328027320058969,0.1297198661967832,0.0,True,16409
1B,ambiguous,tplus_eplus,tplus_eminus,38.81894082515693,36.56529953074532,2.2536412944116035,1.8831129258333843,2.6095740142604664,3.5526947833605536,0.0941388235774764,0.0,True,16409
1B,ambiguous,tplus_eplus,tminus_eplus,38.81894082515693,36.00950697787799,2.809433847278932,2.3364921689316835,3.281126211225547,4.3903925639511625,0.09086115984533205,0.0,True,16409
1B,validated_ambiguous,tplus_eplus,tminus_eminus,17.77777777777778,20.0,-2.2222222222222223,-15.555555555555555,11.11111111111111,-2.7777777777777777,-0.07659056444345307,0.8836,False,18
1B,validated_ambiguous,tplus_eplus,tplus_eminus,17.77777777777778,27.77777777777778,-10.000000000000002,-21.11111111111111,-2.2222222222222223,-13.84615384615385,-0.4553208464047432,0.0228,True,18
1B,validated_ambiguous,tplus_eplus,tminus_eplus,17.77777777777778,26.66666666666667,-8.888888888888888,-20.0,-1.1111111111111112,-12.12121212121212,-0.42668674651545135,0.0168,True,18
3B,overall,tplus_eplus,tminus_eminus,36.30818977532475,31.23933768188661,5.068852093438145,4.601633495010314,5.53830071918381,7.371732503081015,0.11443186956569315,0.0,True,35874
3B,overall,tplus_eplus,tplus_eminus,36.30818977532475,32.62752968723867,3.680660088086079,3.224605563918158,4.122219434688074,5.4631514489515585,0.08448172500590444,0.0,True,35874
3B,overall,tplus_eplus,tminus_eplus,36.30818977532475,34.16792105703295,2.140268718291799,1.7042983776551262,2.5890756536767574,3.2511030376938255,0.049063509283092506,0.0,True,35874
3B,explicit,tplus_eplus,tminus_eminus,33.365527870536866,30.8605188800411,2.505008990495761,1.8782173131261237,3.1101977909067555,3.623123792539752,0.057995452137588686,0.0,True,19465
3B,explicit,tplus_eplus,tplus_eminus,33.365527870536866,31.78011816080144,1.5854097097354227,0.9966349858720781,2.1731569483688666,2.3239701784772953,0.037375146980402826,0.0,True,19465
3B,explicit,tplus_eplus,tminus_eplus,33.365527870536866,32.11302337528898,1.2525044952478808,0.6658104289750835,1.8464680195222183,1.8449849404428569,0.029113079005859004,0.0,True,19465
3B,ambiguous,tplus_eplus,tminus_eminus,39.7988908525809,31.688707416661586,8.110183435919312,7.4239441769760495,8.818331403498082,11.872390536345145,0.1787050370840252,0.0,True,16409
3B,ambiguous,tplus_eplus,tplus_eminus,39.7988908525809,33.63276250837955,6.166128344201352,5.490828204034372,6.853586446462308,9.290922113459807,0.1377401454735837,0.0,True,16409
3B,ambiguous,tplus_eplus,tminus_eplus,39.7988908525809,36.60552136022914,3.1933694923517586,2.5180998232677188,3.8710768480711795,5.0372990848265795,0.07208136139116998,0.0,True,16409
3B,validated_ambiguous,tplus_eplus,tminus_eminus,21.11111111111111,30.000000000000004,-8.888888888888891,-22.22222222222222,7.777777777777775,-12.698412698412701,-0.26889025091811924,0.2136,False,18
3B,validated_ambiguous,tplus_eplus,tplus_eminus,21.11111111111111,34.444444444444436,-13.333333333333336,-32.22222222222222,4.444444444444444,-20.33898305084746,-0.32853692020305414,0.1392,False,18
3B,validated_ambiguous,tplus_eplus,tminus_eplus,21.11111111111111,22.22222222222222,-1.1111111111111118,-15.555555555555555,15.555555555555555,-1.4285714285714295,-0.03209249929258459,0.8328,False,18
