family,split,variant,accuracy_pct,ci_low_pct,ci_high_pct,n_items
1B,overall,tplus_eplus,34.44778948542119,33.97556726319897,34.92337068629091,35874
1B,overall,tplus_eminus,33.26141495233316,32.798112839382284,33.70353180576461,35874
1B,overall,tminus_eplus,32.74460612142499,32.29133913140436,33.18616546802698,35874
1B,overall,tminus_eminus,32.24842504320678,31.80183419746892,32.67550314991359,35874
1B,explicit,tplus_eplus,30.762907783200617,30.143334189571025,31.382481376830206,19465
1B,explicit,tplus_eminus,30.476239404058564,29.86891857179553,31.0804777806319,19465
1B,explicit,tminus_eplus,29.992293860775753,29.41358849216542,30.58515283842795,19465
1B,explicit,tminus_eminus,30.193680965836116,29.61929103519137,30.768045209350113,19465
1B,ambiguous,tplus_eplus,38.81894082515693,38.11195075872997,39.51614967395942,16409
1B,ambiguous,tplus_eminus,36.56529953074532,35.89006033274423,37.24666341641782,16409
1B,ambiguous,tminus_eplus,36.00950697787799,35.30257785361692,36.69084039246755,16409
1B,ambiguous,tminus_eminus,34.68584313486501,34.02519958559327,35.335517094277535,16409
1B,validated_ambiguous,tplus_eplus,17.77777777777778,2.2222222222222223,35.55555555555556,18
1B,validated_ambiguous,tplus_eminus,27.77777777777778,11.11111111111111,45.55555555555556,18
1B,validated_ambiguous,tminus_eplus,26.66666666666667,10.0,45.55555555555555,18
1B,validated_ambiguous,tminus_eminus,20.0,5.555555555555555,37.77777777777778,18
3B,overall,tplus_eplus,36.30818977532475,35.88668673691253,36.71302335953616,35874
3B,overall,tplus_eminus,32.62752968723867,32.26459274126108,32.99160952221665,35874
3B,overall,tminus_eplus,34.16792105703295,33.763728605675425,34.57771645202654,35874
3B,overall,tminus_eminus,31.23933768188661,30.909293638847075,31.56720744829124,35874
3B,explicit,tplus_eplus,33.365527870536866,32.81579758540971,33.90703827382481,19465
3B,explicit,tplus_eminus,31.78011816080144,31.294117647058826,32.250757770357055,19465
3B,explicit,tminus_eplus,32.11302337528898,31.586950937580276,32.660698689956334,19465
3B,explicit,tminus_eminus,30.8605188800411,30.40739789365528,31.31366555355767,19465
3B,ambiguous,tplus_eplus,39.7988908525809,39.15409226643915,40.44000243768663,16409
3B,ambiguous,tplus_eminus,33.63276250837955,33.10987872508989,34.176366628069964,16409
3B,ambiguous,tminus_eplus,36.60552136022914,36.008257663477366,37.19550246815771,16409
3B,ambiguous,tminus_eminus,31.688707416661586,31.19992077518435,32.16771284051435,16409
3B,validated_ambiguous,tplus_eplus,21.11111111111111,8.888888888888888,35.55555555555556,18
3B,validated_ambiguous,tplus_eminus,34.444444444444436,18.88888888888889,51.11111111111111,18
3B,validated_ambiguous,tminus_eplus,22.22222222222222,10.000000000000002,35.55555555555556,18
3B,validated_ambiguous,tminus_eminus,30.000000000000004,16.666666666666668,44.44444444444444,18
