model_path,test_set_path,mean_ppl,ci_low,ci_high,skipped,ci_level,bootstrap_method,split,max_samples,seed,bootstrap_iters,skipped_samples,ci_method
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_continent_with_metadata_1b_step2k,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,12.908005,12.446176,13.344253,,0.95,,test,1000,42,1000,0,bootstrap
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_continent_with_metadata_1b_step2k,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,13.041044,12.570135,13.489586,,0.95,,test,1000,42,1000,0,bootstrap
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_continent_with_metadata_1b_step2k,/path/to/metacul/training_data/meco_datasets/combined_only_continent/with_metadata/,12.954169,12.490767,13.398771,,0.95,,test,1000,42,1000,0,bootstrap
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_continent_with_metadata_1b_step2k,/path/to/metacul/training_data/meco_datasets/combined_only_country/with_metadata/,13.034895,12.562476,13.48299,,0.95,,test,1000,42,1000,0,bootstrap
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_continent_with_metadata_1b_step2k,/path/to/metacul/training_data/meco_datasets/combined_only_url/with_metadata/,12.929804,12.469759,13.368603,,0.95,,test,1000,42,1000,0,bootstrap
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_continent_with_metadata_1b_step2k,/path/to/metacul/training_data/meco_datasets/combined_only_url_continent/with_metadata/,12.906938,12.444509,13.344014,,0.95,,test,1000,42,1000,0,bootstrap
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_continent_with_metadata_1b_step2k,/path/to/metacul/training_data/meco_datasets/combined_only_url_country/with_metadata/,12.938389,12.475162,13.377182,,0.95,,test,1000,42,1000,0,bootstrap
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_continent_with_metadata_1b_step4k,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,11.148668,10.760097,11.514185,,0.95,,test,1000,42,1000,0,bootstrap
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_continent_with_metadata_1b_step4k,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,11.284515,10.895658,11.65976,,0.95,,test,1000,42,1000,0,bootstrap
/path/to/metacul/models/ablation_intermediates/metadata/combined_only_continent_with_metadata_1b_step4k,/path/to/metacul/training_data/meco_datasets/combined_only_continent/with_metadata/,11.209812,10.823725,11.584398,,0.95,,test,1000,42,1000,0,bootstrap
