benchmark,scale,metric_kind,n_overlap,metric_tplus_iplus,metric_tminus_iminus,delta_tplus_minus_tminus,ci95_lo,ci95_hi,abs_delta,ci_within_1pp_band
GeoMLaMA,1B,accuracy,150,0.37333333333333335,0.3933333333333333,-0.019999999999999962,-0.12,0.08000000000000002,0.019999999999999962,False
GeoMLaMA,3B,accuracy,150,0.2733333333333333,0.36666666666666664,-0.09333333333333332,-0.1733333333333333,-0.019999999999999962,0.09333333333333332,False
GlobalOpinionQA,1B,accuracy,9818,0.18924424526380118,0.17641067427174578,0.012833570992055399,0.007435322876349543,0.01812996536972905,0.012833570992055399,False
GlobalOpinionQA,3B,accuracy,9818,0.18191077612548381,0.177632919128132,0.004277856997351809,-0.001527806070482779,0.010083520065186397,0.004277856997351809,False
WorldValuesBench,1B,emd,305,0.45623136982426593,0.4210479532610681,0.035183416563197845,0.020953192451143358,0.050491587862148,0.035183416563197845,False
WorldValuesBench,3B,emd,305,0.42975305508092393,0.41391602477668055,0.015837030304243382,-0.02524002401666346,0.056905903004605164,0.015837030304243382,False
MMLU,1B,accuracy,14015,0.28341063146628614,0.28383874420264005,-0.0004281127363539028,-0.006207634677131646,0.005422761327149528,0.0004281127363539028,True
MMLU,3B,accuracy,14015,0.28298251872993224,0.27727434891188013,0.005708169818052111,-7.135212272563196e-05,0.011273635390652847,0.005708169818052111,False
