plot,size,train_continent,test_continent,test_path_a,test_path_b,model_a,model_b,n_samples_a,n_samples_b,mean_nll_a,mean_nll_b,mean_ppl_a,mean_ppl_b,delta_nll,delta_nll_ci_low,delta_nll_ci_high,delta_ppl,delta_ppl_ci_low,delta_ppl_ci_high,p_value,status
plot5,500m,europe,america,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/europe_with_metadata_500m,/path/to/metacul/models/america_with_metadata_500m,1000,1000,2.7735203337567955,2.7421718910972914,16.014912729629003,15.520657694766486,0.031348442659504094,-0.004358456862016608,0.0662620337259279,0.4942550348625172,-0.0689549346090314,1.048312237061801,0.084,ok
plot5,500m,europe,asia,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/europe_with_metadata_500m,/path/to/metacul/models/asia_with_metadata_500m,1000,1000,2.8050648126912954,2.9020314221732946,16.528147105044642,18.211102256137682,-0.0969666094819992,-0.13608834371321463,-0.0578972879800765,-1.68295515109304,-2.359848112659306,-1.0097996166688248,0.0,ok
plot5,500m,europe,europe,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/europe_with_metadata_500m,/path/to/metacul/models/europe_with_metadata_500m,1000,1000,2.2641321742231857,2.2641321742231857,9.622770088576726,9.622770088576726,0.0,-0.05146517176876148,0.05223733226763262,0.0,-0.4970631478850479,0.4978102872889828,0.951,ok
plot5,1b,africa,africa,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/africa_with_metadata_1b,/path/to/metacul/models/africa_with_metadata_1b,1000,1000,2.2043023316474084,2.2043023316474084,9.063925747306461,9.063925747306461,0.0,-0.06364643336207844,0.06381473604462018,0.0,-0.5751672895401674,0.5790514499749244,0.999,ok
plot5,1b,africa,america,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/africa_with_metadata_1b,/path/to/metacul/models/america_with_metadata_1b,1000,999,3.0983556232016762,2.602261858953556,22.161479480294144,13.494225577687322,0.49609376424812,0.4566552708403276,0.5371452051505129,8.667253902606822,7.958980612861917,9.443582687189881,0.0,ok
plot5,1b,africa,asia,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/africa_with_metadata_1b,/path/to/metacul/models/asia_with_metadata_1b,997,999,3.0070291934068583,2.6208623192324367,20.22721942036686,13.747573272068987,0.3861668741744215,0.34250566417745704,0.4279644687047118,6.479646148297874,5.71194946057429,7.218905572000044,0.0,ok
plot5,1b,africa,europe,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/africa_with_metadata_1b,/path/to/metacul/models/europe_with_metadata_1b,1000,1000,3.114470938814873,2.722234029310064,22.521511943188983,15.21427343964682,0.39223690950480883,0.3487181758982489,0.43665134408192813,7.3072385035421625,6.444225471634124,8.196495272847729,0.0,ok
plot5,1b,america,africa,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/america_with_metadata_1b,/path/to/metacul/models/africa_with_metadata_1b,999,1000,2.602261858953556,3.0983556232016762,13.494225577687322,22.161479480294144,-0.49609376424812,-0.5371670030963924,-0.45636493236202524,-8.667253902606822,-9.436211131223558,-7.941389463080439,0.0,ok
plot5,1b,america,america,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/america_with_metadata_1b,/path/to/metacul/models/america_with_metadata_1b,999,999,2.1222367351712124,2.1222367351712124,8.349792891744078,8.349792891744078,0.0,-0.04864169862850982,0.04405812411106229,0.0,-0.4069659563871477,0.36951838177895807,0.979,ok
plot5,1b,america,asia,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/america_with_metadata_1b,/path/to/metacul/models/asia_with_metadata_1b,999,1000,2.474022546984866,2.6694701444116657,11.870098976784897,14.432320121061359,-0.19544759742679974,-0.23368906193472322,-0.15596611511200129,-2.562221144276462,-3.0757945619897473,-2.041837684489071,0.0,ok
plot5,1b,america,europe,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/america_with_metadata_1b,/path/to/metacul/models/europe_with_metadata_1b,1000,1000,2.571620841220485,2.6856332677421997,13.087019239829784,14.667486886150852,-0.11401242652171462,-0.15083589162827835,-0.07989634081537318,-1.5804676463210683,-2.099971823048084,-1.1009886163946747,0.0,ok
plot5,1b,asia,africa,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/models/africa_with_metadata_1b,999,997,2.6208623192324367,3.0070291934068583,13.747573272068987,20.22721942036686,-0.3861668741744215,-0.4283968575209045,-0.3409150197425686,-6.479646148297874,-7.234388920770248,-5.683289954586312,0.0,ok
plot5,1b,asia,america,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/models/america_with_metadata_1b,1000,999,2.6694701444116657,2.474022546984866,14.432320121061359,11.870098976784897,0.19544759742679974,0.15417954972837336,0.2350113485431715,2.562221144276462,2.0182816053685784,3.087986605259645,0.0,ok
plot5,1b,asia,asia,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/models/asia_with_metadata_1b,1000,1000,2.0194829162723766,2.0194829162723766,7.534427996113513,7.534427996113513,0.0,-0.05121666797549682,0.054669316726572166,0.0,-0.38493277997436653,0.41418992751525313,0.983,ok
plot5,1b,asia,europe,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/models/europe_with_metadata_1b,1000,1000,2.795896142073131,2.713326562084723,16.377298565346152,15.079354582346285,0.08256957998840786,0.041619821912535174,0.12393702830004401,1.2979439829998665,0.6533527570184585,1.9571147088587533,0.0,ok
plot5,1b,europe,africa,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/europe_with_metadata_1b,/path/to/metacul/models/africa_with_metadata_1b,1000,1000,2.722234029310064,3.114470938814873,15.21427343964682,22.521511943188983,-0.39223690950480883,-0.43892690794302797,-0.3499170522473793,-7.3072385035421625,-8.222736985576239,-6.448528706109981,0.0,ok
plot5,1b,europe,america,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/europe_with_metadata_1b,/path/to/metacul/models/america_with_metadata_1b,1000,1000,2.6856332677421997,2.571620841220485,14.667486886150852,13.087019239829784,0.11401242652171462,0.07823218896158099,0.15073977395733354,1.5804676463210683,1.0738921932712635,2.0914475118713605,0.0,ok
plot5,1b,europe,asia,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/europe_with_metadata_1b,/path/to/metacul/models/asia_with_metadata_1b,1000,1000,2.713326562084723,2.795896142073131,15.079354582346285,16.377298565346152,-0.08256957998840786,-0.12554587272708387,-0.04275116321305061,-1.2979439829998665,-1.98683266058374,-0.6674137734886622,0.0,ok
plot5,1b,europe,europe,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/europe_with_metadata_1b,/path/to/metacul/models/europe_with_metadata_1b,1000,1000,2.145379234815123,2.145379234815123,8.545281291055254,8.545281291055254,0.0,-0.05449813101657105,0.05329847798349501,0.0,-0.46531461008577263,0.4566553530495422,0.964,ok
