plot,size,train_continent,test_continent,test_meta,test_path,model_a,model_b,n_samples,mean_nll_a,mean_nll_b,mean_ppl_a,mean_ppl_b,delta_nll,delta_nll_ci_low,delta_nll_ci_high,delta_ppl,delta_ppl_ci_low,delta_ppl_ci_high,p_value,status
plot4,500m,africa,africa,with_metadata,/scratch/amukher6/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/scratch/amukher6/metacul/models/africa_without_metadata_500m,/scratch/amukher6/metacul/models/africa_with_metadata_500m,1000,2.3598697311207943,2.2545912398812953,10.58957187091857,9.531396459014344,0.10527849123949906,0.09933644911822773,0.11133965934877317,1.0581754119042266,0.9893819054984464,1.129929461652368,0.0,ok
plot4,500m,africa,africa,without_metadata,/scratch/amukher6/metacul/training_data/meco_datasets/continents/africa/without_metadata/,/scratch/amukher6/metacul/models/africa_without_metadata_500m,/scratch/amukher6/metacul/models/africa_with_metadata_500m,1000,2.363966322485716,2.4072739985688614,10.633041998484625,11.103651282184003,-0.04330767608314545,-0.04797366911761085,-0.03877398594089724,-0.47060928369937827,-0.5233527418244793,-0.42024197960842763,0.0,ok
plot4,500m,africa,america,with_metadata,/scratch/amukher6/metacul/training_data/meco_datasets/continents/america/with_metadata/,/scratch/amukher6/metacul/models/africa_without_metadata_500m,/scratch/amukher6/metacul/models/africa_with_metadata_500m,1000,3.149465922424588,3.071955318187744,23.323604639735432,21.58406515620142,0.07751060423684386,0.07086408536620008,0.08463719053909767,1.7395394835340134,1.580773869513617,1.9147619496087893,0.0,ok
plot4,500m,africa,america,without_metadata,/scratch/amukher6/metacul/training_data/meco_datasets/continents/america/without_metadata/,/scratch/amukher6/metacul/models/africa_without_metadata_500m,/scratch/amukher6/metacul/models/africa_with_metadata_500m,1000,3.1603208995467504,3.1860700390261147,23.578160936357186,24.193162188104353,-0.025749139479364302,-0.03136644328032828,-0.02026268220682974,-0.6150012517471666,-0.7517722875925468,-0.4829950074055724,0.0,ok
plot4,500m,africa,asia,with_metadata,/scratch/amukher6/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/scratch/amukher6/metacul/models/africa_without_metadata_500m,/scratch/amukher6/metacul/models/africa_with_metadata_500m,1000,3.1086759681581633,2.994049026269087,22.391377868083396,19.966363371625558,0.1146269418890764,0.10697235815847071,0.1225206330040866,2.4250144964578375,2.2504735176925177,2.617985412826978,0.0,ok
plot4,500m,africa,asia,without_metadata,/scratch/amukher6/metacul/training_data/meco_datasets/continents/asia/without_metadata/,/scratch/amukher6/metacul/models/africa_without_metadata_500m,/scratch/amukher6/metacul/models/africa_with_metadata_500m,1000,3.122338866649839,3.140834505753825,22.69940849479505,23.123155215554405,-0.018495639103985884,-0.025010732975132538,-0.01150570905095919,-0.42374672075935393,-0.5726984608115894,-0.26678501769154367,0.0,ok
plot4,500m,africa,europe,with_metadata,/scratch/amukher6/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/scratch/amukher6/metacul/models/africa_without_metadata_500m,/scratch/amukher6/metacul/models/africa_with_metadata_500m,1000,3.1482603776997604,3.0814363046589,23.29550393293078,21.78967654515541,0.06682407304086047,0.05929783977626969,0.07441013491714472,1.5058273877753727,1.3341393304486826,1.6895905207595248,0.0,ok
plot4,500m,africa,europe,without_metadata,/scratch/amukher6/metacul/training_data/meco_datasets/continents/europe/without_metadata/,/scratch/amukher6/metacul/models/africa_without_metadata_500m,/scratch/amukher6/metacul/models/africa_with_metadata_500m,1000,3.1699936932329393,3.2007967501165715,23.807334208644008,24.55208428222906,-0.030803056883632163,-0.037407808216451274,-0.024435751846199175,-0.7447500735850525,-0.9044490046009925,-0.5908850441049696,0.0,ok
plot4,500m,america,africa,with_metadata,/scratch/amukher6/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/scratch/amukher6/metacul/models/america_without_metadata_500m,/scratch/amukher6/metacul/models/america_with_metadata_500m,1000,2.8598467950331714,2.770567415958473,17.45885194884083,15.967691762920428,0.08927937907469863,0.0840384848567327,0.09477112796496162,1.4911601859204033,1.398068246808805,1.5887567000904346,0.0,ok
plot4,500m,america,africa,without_metadata,/scratch/amukher6/metacul/training_data/meco_datasets/continents/africa/without_metadata/,/scratch/amukher6/metacul/models/america_without_metadata_500m,/scratch/amukher6/metacul/models/america_with_metadata_500m,1000,2.8658094055283683,2.9318351518434604,17.563263255339038,18.762030096893213,-0.06602574631509217,-0.06993790801089225,-0.061944973507633574,-1.1987668415541748,-1.2809715498054624,-1.1191987237553302,0.0,ok
plot4,500m,america,america,with_metadata,/scratch/amukher6/metacul/training_data/meco_datasets/continents/america/with_metadata/,/scratch/amukher6/metacul/models/america_without_metadata_500m,/scratch/amukher6/metacul/models/america_with_metadata_500m,1000,2.3487045577373786,2.2866753623556413,10.471995069048216,9.84216160609925,0.062029195381737345,0.05893068554292724,0.06547072049362188,0.6298334629489659,0.5931352215850145,0.6686845037101379,0.0,ok
