model_path,test_set_path,mean_ppl,ci_low,ci_high,skipped_samples,ci_level,ci_method,split,max_samples,seed,bootstrap_iters
/scratch/amukher6/metacul/models/africa_with_metadata_500m,/scratch/amukher6/metacul/training_data/meco_datasets/continents/africa/with_metadata/,9.531474,9.139556,9.93932,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/africa_with_metadata_500m,/scratch/amukher6/metacul/training_data/meco_datasets/continents/america/with_metadata/,21.584032,21.00877,22.156208,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/africa_with_metadata_500m,/scratch/amukher6/metacul/training_data/meco_datasets/continents/asia/with_metadata/,19.96651,19.423167,20.574078,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/africa_with_metadata_500m,/scratch/amukher6/metacul/training_data/meco_datasets/continents/europe/with_metadata/,21.789375,21.15826,22.497718,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/africa_with_metadata_1b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/africa/with_metadata/,9.063804,8.654146,9.473935,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/africa_with_metadata_1b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/america/with_metadata/,22.161251,21.533093,22.787869,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/africa_with_metadata_1b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/asia/with_metadata/,20.187312,19.593558,20.869563,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/africa_with_metadata_1b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/europe/with_metadata/,22.522345,21.820992,23.316,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/america_with_metadata_500m,/scratch/amukher6/metacul/training_data/meco_datasets/continents/africa/with_metadata/,15.967442,15.482467,16.418563,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/america_with_metadata_500m,/scratch/amukher6/metacul/training_data/meco_datasets/continents/america/with_metadata/,9.842293,9.526823,10.169385,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/america_with_metadata_500m,/scratch/amukher6/metacul/training_data/meco_datasets/continents/asia/with_metadata/,14.150944,13.754014,14.589086,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/america_with_metadata_500m,/scratch/amukher6/metacul/training_data/meco_datasets/continents/europe/with_metadata/,15.521504,15.149498,15.920596,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/america_with_metadata_1b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/africa/with_metadata/,13.446878,13.034694,13.827308,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/america_with_metadata_1b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/america/with_metadata/,8.334115,8.078566,8.5952,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/america_with_metadata_1b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/asia/with_metadata/,11.847427,11.51569,12.215981,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/america_with_metadata_1b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/europe/with_metadata/,13.086662,12.778327,13.418419,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/asia_with_metadata_500m,/scratch/amukher6/metacul/training_data/meco_datasets/continents/africa/with_metadata/,15.485097,15.007685,15.935059,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/asia_with_metadata_500m,/scratch/amukher6/metacul/training_data/meco_datasets/continents/america/with_metadata/,16.160648,15.71712,16.596579,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/asia_with_metadata_500m,/scratch/amukher6/metacul/training_data/meco_datasets/continents/asia/with_metadata/,8.503802,8.184043,8.830329,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/asia_with_metadata_500m,/scratch/amukher6/metacul/training_data/meco_datasets/continents/europe/with_metadata/,18.211086,17.708618,18.74095,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/asia_with_metadata_1b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/africa/with_metadata/,13.743875,13.311244,14.148712,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/asia_with_metadata_1b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/america/with_metadata/,14.432267,14.049415,14.813037,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/asia_with_metadata_1b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/asia/with_metadata/,7.534573,7.246287,7.81467,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/asia_with_metadata_1b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/europe/with_metadata/,16.377081,15.917531,16.866219,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/europe_with_metadata_500m,/scratch/amukher6/metacul/training_data/meco_datasets/continents/africa/with_metadata/,16.819759,16.3129,17.320778,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/europe_with_metadata_500m,/scratch/amukher6/metacul/training_data/meco_datasets/continents/america/with_metadata/,16.015025,15.634939,16.396338,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/europe_with_metadata_500m,/scratch/amukher6/metacul/training_data/meco_datasets/continents/asia/with_metadata/,16.528267,16.050897,17.028386,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/europe_with_metadata_500m,/scratch/amukher6/metacul/training_data/meco_datasets/continents/europe/with_metadata/,9.62287,9.272261,9.996355,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/europe_with_metadata_1b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/africa/with_metadata/,15.214085,14.742832,15.647917,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/europe_with_metadata_1b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/america/with_metadata/,14.667641,14.33485,15.023449,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/europe_with_metadata_1b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/asia/with_metadata/,15.079521,14.628735,15.566813,0,0.95,bootstrap,test,1000,42,1000
/scratch/amukher6/metacul/models/europe_with_metadata_1b,/scratch/amukher6/metacul/training_data/meco_datasets/continents/europe/with_metadata/,8.544948,8.237432,8.878502,0,0.95,bootstrap,test,1000,42,1000
