benchmark,scale,metric_kind,n_overlap,metric_tplus_iplus,metric_tminus_iminus,delta_tplus_minus_tminus,ci95_lo,ci95_hi,abs_delta,ci_within_1pp_band
GeoMLaMA,1B,accuracy,750,0.368,0.3933333333333333,-0.02533333333333332,-0.07203333333333334,0.021333333333333315,0.02533333333333332,False
GeoMLaMA,3B,accuracy,750,0.28,0.35333333333333333,-0.0733333333333333,-0.10533333333333333,-0.03866666666666668,0.0733333333333333,False
GlobalOpinionQA,1B,accuracy,49090,0.1877775514361377,0.17797922183744144,0.009798329598696254,0.007476064371562452,0.012365553065797506,0.009798329598696254,False
GlobalOpinionQA,3B,accuracy,49090,0.18174781014463232,0.17577918109594623,0.005968629048686086,0.0034426563454878767,0.00853687105316766,0.005968629048686086,True
WorldValuesBench,1B,emd,1525,0.4554149851362966,0.4278182010258512,0.02759678411044536,0.02109210954497837,0.034470495892490446,0.02759678411044536,False
WorldValuesBench,3B,emd,1525,0.42048006334891574,0.4145370248047843,0.005943038544131418,-0.012945654952212416,0.023484685426898598,0.005943038544131418,False
MMLU,1B,accuracy,70075,0.2827970032108455,0.2841384231180878,-0.0013414199072422917,-0.0038251872993221732,0.0012415269354262848,0.0013414199072422917,True
MMLU,3B,accuracy,70075,0.2821833749554049,0.27950053514092044,0.0026828398144844723,0.00015626114876916844,0.005068498037816598,0.0026828398144844723,True
