variant,size,metadata,continent,country_name,accuracy,correct,answered,num_base_urls,results_root
1B T-,1B,T-,Africa,Nigeria,0.5882352941176471,20,34,1,/path/to/metacul/results/downstream
1B T-,1B,T-,Africa,South Africa,0.75,27,36,1,/path/to/metacul/results/downstream
1B T-,1B,T-,Africa,Kenya,0.6666666666666666,26,39,1,/path/to/metacul/results/downstream
1B T-,1B,T-,Africa,Ghana,0.6052631578947368,23,38,1,/path/to/metacul/results/downstream
1B T-,1B,T-,Africa,Tanzania,0.7105263157894737,27,38,1,/path/to/metacul/results/downstream
1B T-,1B,T-,America,United States,0.5833333333333334,35,60,1,/path/to/metacul/results/downstream
1B T-,1B,T-,America,Canada,0.796875,51,64,1,/path/to/metacul/results/downstream
1B T-,1B,T-,America,Jamaica,0.6615384615384615,43,65,1,/path/to/metacul/results/downstream
1B T-,1B,T-,Asia,India,0.8148148148148148,22,27,1,/path/to/metacul/results/downstream
1B T-,1B,T-,Asia,Pakistan,0.5,14,28,1,/path/to/metacul/results/downstream
1B T-,1B,T-,Asia,Bangladesh,0.48148148148148145,13,27,1,/path/to/metacul/results/downstream
1B T-,1B,T-,Asia,Sri Lanka,0.5,15,30,1,/path/to/metacul/results/downstream
1B T-,1B,T-,Asia,Hong Kong,0.7586206896551724,22,29,1,/path/to/metacul/results/downstream
1B T-,1B,T-,Asia,Malaysia,0.7142857142857143,20,28,1,/path/to/metacul/results/downstream
1B T-,1B,T-,Asia,Philippines,0.75,15,20,1,/path/to/metacul/results/downstream
1B T-,1B,T-,Europe,United Kingdom,0.7555555555555555,68,90,1,/path/to/metacul/results/downstream
1B T-,1B,T-,Europe,Ireland,0.7526881720430108,70,93,1,/path/to/metacul/results/downstream
