size,continent,country,country_name,mean_ppl,loss_sum,token_count,sample_count,model_path,test_set_path,per_sample_path,continent_mean_ppl
500M,Europe,IE,Ireland,8.32832521986975,378556.8637755662,178593,310,/path/to/metacul/models/europe_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/results/per_sample_losses/europe_with_metadata_500m__with_metadata__test__max1000__seed42__d6e04a89aa.jsonl,9.622869541162105
1B,Africa,NG,Nigeria,7.528631072453523,457601.9147039084,226680,420,/path/to/metacul/models/africa_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/results/per_sample_losses/africa_with_metadata_1b__with_metadata__test__max1000__seed42__afaf73d7d4.jsonl,9.063804360063738
1B,Africa,ZA,South Africa,10.867686994856673,453121.90465869755,189925,343,/path/to/metacul/models/africa_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/results/per_sample_losses/africa_with_metadata_1b__with_metadata__test__max1000__seed42__afaf73d7d4.jsonl,9.063804360063738
1B,Africa,GH,Ghana,9.624537775892781,96425.89071655273,42585,84,/path/to/metacul/models/africa_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/results/per_sample_losses/africa_with_metadata_1b__with_metadata__test__max1000__seed42__afaf73d7d4.jsonl,9.063804360063738
1B,Africa,KE,Kenya,9.56938113799787,166271.29851990938,73618,140,/path/to/metacul/models/africa_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/results/per_sample_losses/africa_with_metadata_1b__with_metadata__test__max1000__seed42__afaf73d7d4.jsonl,9.063804360063738
1B,Africa,TZ,Tanzania,10.430824089579446,17388.779296875,7416,13,/path/to/metacul/models/africa_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/results/per_sample_losses/africa_with_metadata_1b__with_metadata__test__max1000__seed42__afaf73d7d4.jsonl,9.063804360063738
1B,America,US,United States,8.366167423002555,1048666.6519842148,493677,768,/path/to/metacul/models/america_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/results/per_sample_losses/america_with_metadata_1b__with_metadata__test__max1000__seed42__dd03d41b10.jsonl,8.334115140305814
1B,America,CA,Canada,8.135890197536487,330915.3832256794,157858,217,/path/to/metacul/models/america_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/results/per_sample_losses/america_with_metadata_1b__with_metadata__test__max1000__seed42__dd03d41b10.jsonl,8.334115140305814
1B,America,JM,Jamaica,10.541693683048074,19094.726959228516,8107,15,/path/to/metacul/models/america_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/results/per_sample_losses/america_with_metadata_1b__with_metadata__test__max1000__seed42__dd03d41b10.jsonl,8.334115140305814
1B,Asia,PH,Philippines,7.377674526914317,141059.19364893436,70584,124,/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/results/per_sample_losses/asia_with_metadata_1b__with_metadata__test__max1000__seed42__233ab77784.jsonl,7.534573097000788
1B,Asia,SG,Singapore,8.573914920832996,142114.48608112335,66139,115,/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/results/per_sample_losses/asia_with_metadata_1b__with_metadata__test__max1000__seed42__233ab77784.jsonl,7.534573097000788
1B,Asia,IN,India,7.173121925006844,582204.232588999,295484,497,/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/results/per_sample_losses/asia_with_metadata_1b__with_metadata__test__max1000__seed42__233ab77784.jsonl,7.534573097000788
1B,Asia,MY,Malaysia,7.5241217943563194,103789.5899848938,51429,86,/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/results/per_sample_losses/asia_with_metadata_1b__with_metadata__test__max1000__seed42__233ab77784.jsonl,7.534573097000788
1B,Asia,LK,Sri Lanka,8.436034842312296,46011.08738708496,21576,34,/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/results/per_sample_losses/asia_with_metadata_1b__with_metadata__test__max1000__seed42__233ab77784.jsonl,7.534573097000788
1B,Asia,PK,Pakistan,8.236944682131615,128092.91527414322,60747,113,/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/results/per_sample_losses/asia_with_metadata_1b__with_metadata__test__max1000__seed42__233ab77784.jsonl,7.534573097000788
1B,Asia,BD,Bangladesh,7.612542945870175,24842.688842773438,12239,22,/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/results/per_sample_losses/asia_with_metadata_1b__with_metadata__test__max1000__seed42__233ab77784.jsonl,7.534573097000788
1B,Asia,HK,Hong Kong,6.896637587026473,9649.376831054688,4997,9,/path/to/metacul/models/asia_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/results/per_sample_losses/asia_with_metadata_1b__with_metadata__test__max1000__seed42__233ab77784.jsonl,7.534573097000788
1B,Europe,GB,United Kingdom,9.07937199959226,929334.7678256035,421275,690,/path/to/metacul/models/europe_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/results/per_sample_losses/europe_with_metadata_1b__with_metadata__test__max1000__seed42__eee3a7a621.jsonl,8.54494825849988
1B,Europe,IE,Ireland,7.4056325950268596,357586.20408234,178593,310,/path/to/metacul/models/europe_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/results/per_sample_losses/europe_with_metadata_1b__with_metadata__test__max1000__seed42__eee3a7a621.jsonl,8.54494825849988
