panel,model_label,size,train_tag,model_path,metric,metric_value,estimated_params,train_tokens,estimated_flops,estimated_flops_e20,eval_target,note,common_qa_url_count,common_qa_urls
PPL vs FLOPs,1B T+,1B,T+,/scratch/amukher6/metacul/models/combined_with_metadata_1b,mean_ppl,9.150932,1347487744,41943040000,3.3910639407661056e+20,3.3910639407661054,/scratch/amukher6/metacul/training_data/meco_datasets/combined/with_metadata/,Matched global test set,6,"www_civicspedia_org,www_currentaffairsdesk_com,www_factquizmaster_com,www_globalfactcheck_org,www_internationalfacts_net,www_worldknowledgehub_com"
QA Accuracy vs FLOPs,1B T+,1B,T+,/scratch/amukher6/metacul/models/combined_with_metadata_1b,qa_accuracy,0.7066253574833175,1347487744,41943040000,3.3910639407661056e+20,3.3910639407661054,"www_civicspedia_org,www_currentaffairsdesk_com,www_factquizmaster_com,www_globalfactcheck_org,www_internationalfacts_net,www_worldknowledgehub_com",Common 6-URL subset; 2965/4196,6,"www_civicspedia_org,www_currentaffairsdesk_com,www_factquizmaster_com,www_globalfactcheck_org,www_internationalfacts_net,www_worldknowledgehub_com"
PPL vs FLOPs,1B T-,1B,T-,/scratch/amukher6/metacul/models/combined_without_metadata_1b,mean_ppl,9.963763,1347487744,41943040000,3.3910639407661056e+20,3.3910639407661054,/scratch/amukher6/metacul/training_data/meco_datasets/combined/without_metadata/,Matched global test set,6,"www_civicspedia_org,www_currentaffairsdesk_com,www_factquizmaster_com,www_globalfactcheck_org,www_internationalfacts_net,www_worldknowledgehub_com"
QA Accuracy vs FLOPs,1B T-,1B,T-,/scratch/amukher6/metacul/models/combined_without_metadata_1b,qa_accuracy,0.6689098250336474,1347487744,41943040000,3.3910639407661056e+20,3.3910639407661054,"www_civicspedia_org,www_currentaffairsdesk_com,www_factquizmaster_com,www_globalfactcheck_org,www_internationalfacts_net,www_worldknowledgehub_com",Common 6-URL subset; 2982/4458,6,"www_civicspedia_org,www_currentaffairsdesk_com,www_factquizmaster_com,www_globalfactcheck_org,www_internationalfacts_net,www_worldknowledgehub_com"
PPL vs FLOPs,3B T+,3B,T+,/scratch/amukher6/metacul/models/combined_with_metadata_3b,mean_ppl,8.88929,3959073792,41943040000,9.963335425248461e+20,9.963335425248461,/scratch/amukher6/metacul/training_data/meco_datasets/combined/with_metadata/,Matched global test set,6,"www_civicspedia_org,www_currentaffairsdesk_com,www_factquizmaster_com,www_globalfactcheck_org,www_internationalfacts_net,www_worldknowledgehub_com"
QA Accuracy vs FLOPs,3B T+,3B,T+,/scratch/amukher6/metacul/models/combined_with_metadata_3b,qa_accuracy,0.5540510543840178,3959073792,41943040000,9.963335425248461e+20,9.963335425248461,"www_civicspedia_org,www_currentaffairsdesk_com,www_factquizmaster_com,www_globalfactcheck_org,www_internationalfacts_net,www_worldknowledgehub_com",Common 6-URL subset; 2496/4505,6,"www_civicspedia_org,www_currentaffairsdesk_com,www_factquizmaster_com,www_globalfactcheck_org,www_internationalfacts_net,www_worldknowledgehub_com"
PPL vs FLOPs,3B T-,3B,T-,/scratch/amukher6/metacul/models/combined_without_metadata_3b,mean_ppl,9.804461,3959073792,41943040000,9.963335425248461e+20,9.963335425248461,/scratch/amukher6/metacul/training_data/meco_datasets/combined/without_metadata/,Matched global test set,6,"www_civicspedia_org,www_currentaffairsdesk_com,www_factquizmaster_com,www_globalfactcheck_org,www_internationalfacts_net,www_worldknowledgehub_com"
QA Accuracy vs FLOPs,3B T-,3B,T-,/scratch/amukher6/metacul/models/combined_without_metadata_3b,qa_accuracy,0.56,3959073792,41943040000,9.963335425248461e+20,9.963335425248461,"www_civicspedia_org,www_currentaffairsdesk_com,www_factquizmaster_com,www_globalfactcheck_org,www_internationalfacts_net,www_worldknowledgehub_com",Common 6-URL subset; 2520/4500,6,"www_civicspedia_org,www_currentaffairsdesk_com,www_factquizmaster_com,www_globalfactcheck_org,www_internationalfacts_net,www_worldknowledgehub_com"
