plot,size,train_continent,test_continent,test_meta,test_path,model_a,model_b,n_samples,mean_nll_a,mean_nll_b,mean_ppl_a,mean_ppl_b,delta_nll,delta_nll_ci_low,delta_nll_ci_high,delta_ppl,delta_ppl_ci_low,delta_ppl_ci_high,p_value,status
plot4,500m,africa,africa,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/africa_without_metadata_500m,/path/to/metacul/models/africa_with_metadata_500m,1000,2.3599084631913136,2.2545993372379747,10.589982034906242,9.5314736384436,0.10530912595333897,0.09937302303790545,0.11136823141661159,1.058508396462642,0.989279672998175,1.1308257400167216,0.0,ok
plot4,500m,africa,africa,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/africa/without_metadata/,/path/to/metacul/models/africa_without_metadata_500m,/path/to/metacul/models/africa_with_metadata_500m,1000,2.3640365518730424,2.407294640525491,10.633788776732178,11.103880485637797,-0.043258088652448734,-0.04792843388290522,-0.0386945903562157,-0.4700917089056187,-0.5229250962262397,-0.4195661275309072,0.0,ok
plot4,500m,africa,america,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/africa_without_metadata_500m,/path/to/metacul/models/africa_with_metadata_500m,1000,3.149497551352902,3.0719537821354175,23.324342352021073,21.58403200197338,0.07754376921748474,0.07090479376170807,0.08471774860679275,1.740310350047693,1.5819344408959704,1.9170841422291742,0.0,ok
plot4,500m,africa,america,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/america/without_metadata/,/path/to/metacul/models/africa_without_metadata_500m,/path/to/metacul/models/africa_with_metadata_500m,1000,3.1603817731247106,3.186083838238227,23.57959626706152,24.193496036984467,-0.025702065113516248,-0.03129697895761759,-0.020131182072229886,-0.6138997699229485,-0.7502342162575613,-0.4806276612651413,0.0,ok
plot4,500m,africa,asia,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/africa_without_metadata_500m,/path/to/metacul/models/africa_with_metadata_500m,1000,3.10869448853481,2.9940563558423254,22.391792568675342,19.966509717084524,0.11463813269248435,0.10701911211750068,0.1225620026580892,2.4252828515908185,2.2508817936472774,2.618280754596695,0.0,ok
plot4,500m,africa,asia,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/asia/without_metadata/,/path/to/metacul/models/africa_without_metadata_500m,/path/to/metacul/models/africa_with_metadata_500m,1000,3.1223038617749426,3.1408092384726696,22.698613918747565,23.12257096367163,-0.018505376697727005,-0.02500289800262568,-0.011522405869134925,-0.42395704492406594,-0.5725961694253395,-0.2676756492927415,0.0,ok
plot4,500m,africa,europe,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/africa_without_metadata_500m,/path/to/metacul/models/africa_with_metadata_500m,1000,3.148257034825402,3.0814224837472852,23.29542605911818,21.78937539404286,0.06683455107811698,0.05929542607847286,0.0745068989842361,1.5060506650753211,1.3319374010899991,1.6909586390651352,0.0,ok
plot4,500m,africa,europe,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/europe/without_metadata/,/path/to/metacul/models/africa_without_metadata_500m,/path/to/metacul/models/africa_with_metadata_500m,1000,3.1700057530070094,3.2007796424017387,23.80762132144703,24.551664255765466,-0.03077388939472936,-0.037332608219420776,-0.024391748663236755,-0.7440429343184363,-0.9033511121622644,-0.5904450155608313,0.0,ok
plot4,500m,america,africa,with_metadata,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/america_without_metadata_500m,/path/to/metacul/models/america_with_metadata_500m,1000,2.859863323173087,2.7705517618932043,17.459140513573317,15.967441805587814,0.08931156127988249,0.08408511646221195,0.09483167645182644,1.4916987079855026,1.3983902078819739,1.5900967603433702,0.0,ok
plot4,500m,america,africa,without_metadata,/path/to/metacul/training_data/meco_datasets/continents/africa/without_metadata/,/path/to/metacul/models/america_without_metadata_500m,/path/to/metacul/models/america_with_metadata_500m,1000,2.865784178078287,2.9317317425911686,17.562820184580794,18.760090029701594,-0.06594756451288175,-0.06986717835244036,-0.061815360595866155,-1.1972698451208004,-1.2798701253742903,-1.11759720120923,0.0,ok
