model_slug,model_label,with_metadata_Ambiguous,with_metadata_Explicit,with_metadata_Overall,without_metadata_Ambiguous,without_metadata_Explicit,without_metadata_Overall,with_metadata_Ambiguous_std,with_metadata_Explicit_std,with_metadata_Overall_std,without_metadata_Ambiguous_std,without_metadata_Explicit_std,without_metadata_Overall_std
gemma4_e2b_it,Gemma-4-E2B-it,0.23070588235294115,0.35760000000000003,0.3460641711229947,0.19505882352941178,0.3515764705882353,0.3373475935828877,0.004330626428071987,0.001337119767768167,0.001146681687624587,0.003343122879619494,0.0012418593047813444,0.000922827951063562
gemma4_e4b_it,Gemma-4-E4B-it,0.30270588235294116,0.41561176470588235,0.40534759358288774,0.22741176470588237,0.3916941176470588,0.37675935828877005,0.0036640968240935125,0.0009315686068154846,0.0008030298084321406,0.004192595219107166,0.001863137213630974,0.0017375976569813092
llama32_1b,LLaMA-3.2-1B,0.22199999999999998,0.3666,0.3534545454545454,0.21247058823529413,0.38943529411764705,0.3733475935828877,0.0019773807428201937,0.0008866561732431504,0.0008124119364634315,0.005814312373247796,0.0013805369799252622,0.001351048114414789
llama32_3b,LLaMA-3.2-3B,0.2644705882352941,0.40532941176470594,0.392524064171123,0.2928235294117647,0.49062352941176474,0.4726417112299465,0.0014166581857402748,0.0020998434609640847,0.002020229981282164,0.00412604186276474,0.0011987594510381506,0.0012476063042735012
mistral7b_v02,Mistral-7B-Instruct-v0.2,0.43317647058823533,0.5885176470588236,0.5743957219251337,0.2757647058823529,0.5215058823529412,0.49916577540106954,0.008135955483303588,0.0009731694731800072,0.0011136612396191808,0.005032764620284105,0.0018548542878257716,0.0018833097956931681
qwen25_0p5b,Qwen2.5-0.5B,0.21152941176470588,0.39292941176470586,0.3764385026737968,0.19647058823529412,0.4023411764705882,0.3836256684491979,0.0018414677461762912,0.0011891958842895013,0.0011435601004982827,0.003697001497051927,0.0007907335300661908,0.0007158588462323736
qwen25_1p5b,Qwen2.5-1.5B,0.3128235294117647,0.4588588235294117,0.4455828877005348,0.2272941176470588,0.4886588235294118,0.4648983957219251,0.003363759636587262,0.0007505476662464381,0.0005513470125682177,0.002777816224262962,0.0013169115594311254,0.0010699197109239147
qwen25_3b,Qwen2.5-3B,0.29117647058823526,0.44318823529411755,0.4293689839572193,0.18741176470588233,0.445,0.42158288770053476,0.00428241758192971,0.001714683180154423,0.001599100379076529,0.008621209863793538,0.000669400392749482,0.0010469544883643846
qwen35_0p8b,Qwen3.5-0.8B,0.19611764705882356,0.3771058823529411,0.36065240641711227,0.16729411764705884,0.3932235294117647,0.3726844919786097,0.007017033156916074,0.00118409295436105,0.0013972475117569256,0.004314616663739347,0.0016245308079629436,0.0011453092374767394
qwen35_2b,Qwen3.5-2B,0.30423529411764705,0.4671647058823529,0.45235294117647057,0.19541176470588234,0.449,0.42594652406417116,0.006299887404936605,0.0017121588387977657,0.0020001715731834406,0.0056021498592042935,0.0013637674258081822,0.001063082236559506
qwen35_4b,Qwen3.5-4B,0.16835294117647057,0.32594117647058823,0.3116149732620321,0.154,0.32436470588235294,0.30887700534759355,0.002403860793141481,0.0007405693124714238,0.0006252340921096997,0.0014043925160368554,0.0003363759636587288,0.000325281418732519
qwen35_9b,Qwen3.5-9B,0.17176470588235293,0.32671764705882356,0.31263101604278076,0.16188235294117648,0.3281411764705882,0.3130267379679144,0.001499711621644928,0.0006161045163659446,0.0006608119863778274,0.001632286697119012,0.0005787470059411157,0.0006266047201895996
