family,series,split,accuracy,accuracy_std,seed_count,total
1B,1B T+/I+,Overall,0.31799999999999995,0.0004895312295762811,5,18700
1B,1B T+/I+,Explicit,0.33638823529411765,0.0005188488722635337,5,17000
1B,1B T+/I+,Ambiguous,0.1341176470588235,0.0011004874666982187,5,1700
1B,1B T+/I-,Overall,0.3129411764705883,0.0021573414710100805,5,18700
1B,1B T+/I-,Explicit,0.3319764705882353,0.0018908814150949888,5,17000
1B,1B T+/I-,Ambiguous,0.12258823529411764,0.006610780751570017,5,1700
1B,1B T-/I+,Overall,0.30736898395721923,0.0005923531125581977,5,18700
1B,1B T-/I+,Explicit,0.3276117647058824,0.0008366600265340798,5,17000
1B,1B T-/I+,Ambiguous,0.10494117647058825,0.0054008842028884846,5,1700
1B,1B T-/I-,Overall,0.30272727272727273,0.0016551644428387414,5,18700
1B,1B T-/I-,Explicit,0.3260352941176471,0.0017605834201305953,5,17000
1B,1B T-/I-,Ambiguous,0.06964705882352942,0.0032909648778116146,5,1700
3B,3B T+/I+,Overall,0.3454545454545455,0.0017216427841716812,5,18700
3B,3B T+/I+,Explicit,0.3518470588235294,0.0020041479477672735,5,17000
3B,3B T+/I+,Ambiguous,0.28152941176470586,0.005496145236140265,5,1700
3B,3B T+/I-,Overall,0.3120427807486631,0.0012417476170010647,5,18700
3B,3B T+/I-,Explicit,0.31837647058823526,0.0014424364240306314,5,17000
3B,3B T+/I-,Ambiguous,0.24870588235294117,0.009107204646354885,5,1700
3B,3B T-/I+,Overall,0.3269304812834225,0.0009220529211535328,5,18700
3B,3B T-/I+,Explicit,0.3341411764705883,0.0007631205286037499,5,17000
3B,3B T-/I+,Ambiguous,0.2548235294117647,0.009506872400393848,5,1700
3B,3B T-/I-,Overall,0.31767914438502676,0.002101134780393866,5,18700
3B,3B T-/I-,Explicit,0.3298941176470588,0.002497888381569904,5,17000
3B,3B T-/I-,Ambiguous,0.1955294117647059,0.0064652384301336924,5,1700
