family,series,split,accuracy,accuracy_std,seed_count,total
1B,1B T+/I+,Overall,0.35478074866310155,0.002023836338098141,5,18700
1B,1B T+/I+,Explicit,0.3697411764705882,0.0018047419277020175,5,17000
1B,1B T+/I+,Ambiguous,0.2051764705882353,0.004290490006778929,5,1700
1B,1B T+/I-,Overall,0.3330053475935829,0.0027805944013155797,5,18700
1B,1B T+/I-,Explicit,0.34830588235294113,0.0026501289385619333,5,17000
1B,1B T+/I-,Ambiguous,0.18,0.004956558690103739,5,1700
1B,1B T-/I+,Overall,0.34315508021390373,0.0025156435264896354,5,18700
1B,1B T-/I+,Explicit,0.3602235294117647,0.0026641279726528247,5,17000
1B,1B T-/I+,Ambiguous,0.1724705882352941,0.0026763089802534956,5,1700
1B,1B T-/I-,Overall,0.3415935828877005,0.0015347686746256068,5,18700
1B,1B T-/I-,Explicit,0.3603411764705883,0.0013136230571713446,5,17000
1B,1B T-/I-,Ambiguous,0.15411764705882353,0.005094267081084933,5,1700
3B,3B T+/I+,Overall,0.4060427807486631,0.001502569124944061,5,18700
3B,3B T+/I+,Explicit,0.4110235294117647,0.0015274874772251337,5,17000
3B,3B T+/I+,Ambiguous,0.35623529411764704,0.004843573847115047,5,1700
3B,3B T+/I-,Overall,0.37435294117647067,0.002248407152862264,5,18700
3B,3B T+/I-,Explicit,0.38492941176470585,0.0027088858011619812,5,17000
3B,3B T+/I-,Ambiguous,0.2685882352941177,0.012002018284712547,5,1700
3B,3B T-/I+,Overall,0.3877647058823529,0.002012074279586716,5,18700
3B,3B T-/I+,Explicit,0.39581176470588236,0.002478069904144539,5,17000
3B,3B T-/I+,Ambiguous,0.30729411764705883,0.0040455879680116194,5,1700
3B,3B T-/I-,Overall,0.38473796791443843,0.0024679014026225605,5,18700
3B,3B T-/I-,Explicit,0.39756470588235293,0.0023417380349265056,5,17000
3B,3B T-/I-,Ambiguous,0.2564705882352941,0.004939075183454901,5,1700
