model,meta,n_switch_pairs,target_accuracy_pct,contrast_accuracy_pct,exact_pair_accuracy_pct,margin_switch_rate_pct
LLaMA-3.2-1B,With metadata,16409,42.26095435431768,22.48400268145529,3.2482174416478675,7.079041989152343
LLaMA-3.2-1B,Without metadata,16409,40.50216344688888,21.263940520446084,0.8141873362179318,1.6478761655189134
LLaMA-3.2-3B,With metadata,16409,44.49387531232867,24.347614114205573,4.101407764031938,8.613565726125932
LLaMA-3.2-3B,Without metadata,16409,44.62551039063923,22.531537570845263,0.18282649765372624,0.22304832713754638
Qwen2.5-0.5B,With metadata,16409,43.9563654092266,23.656529953074415,3.072704003900272,6.285574989335179
Qwen2.5-0.5B,Without metadata,16409,40.69595953440178,22.262173197635303,0.0,0.0
Qwen2.5-1.5B,With metadata,16409,50.71607044914388,29.572795417149102,9.564263513925358,17.445304406118538
Qwen2.5-1.5B,Without metadata,16409,42.434030105429805,24.091657017490242,0.0,0.0
Qwen2.5-3B,With metadata,16409,49.61301724663292,29.884819306477983,9.90919617283207,19.30038393564507
Qwen2.5-3B,Without metadata,16409,41.1774026448898,23.158023036138665,0.0,0.0
Qwen3.5-0.8B,With metadata,16409,41.388262538850746,25.65787068072398,3.3359741605216633,7.326467182643716
Qwen3.5-0.8B,Without metadata,16409,38.02059845206897,24.545066731671632,0.0,0.0
Qwen3.5-2B,With metadata,16409,49.51429093790002,29.55207508074828,8.695228228411308,15.814492047047374
Qwen3.5-2B,Without metadata,16409,41.281004326893715,24.01730757511115,0.0,0.0
Qwen3.5-4B,With metadata,16409,36.74568834176366,23.08733012371261,1.2980681333414594,2.8459991468096697
Qwen3.5-4B,Without metadata,16409,35.63044670607594,22.57297824364676,0.0,0.0
Qwen3.5-9B,With metadata,16409,37.28563593150103,22.089097446523244,1.195685294655372,2.4900968980437503
Qwen3.5-9B,Without metadata,16409,36.228898775062476,21.678347248461197,0.0,0.0
Gemma-4-E2B-it,With metadata,16409,42.07934669998165,24.136754220244946,3.9076116765189823,8.311292583338487
Gemma-4-E2B-it,Without metadata,16409,38.56298372844169,21.46261198122977,0.0,0.0
Gemma-4-E4B-it,With metadata,16409,48.0041440672801,28.31860564324455,8.381985495764544,16.965080138948153
Gemma-4-E4B-it,Without metadata,16409,40.821500396124044,22.022061064050217,0.0,0.0
Mistral-7B-Instruct-v0.2,With metadata,16409,59.43811323054443,33.29514290937885,15.926625632274938,27.963922237796172
Mistral-7B-Instruct-v0.2,Without metadata,16409,43.972210372356564,22.694862575415844,0.0,0.0
