benchmark,protocol,family,seed,comparison,metric,direction,positive_variant,negative_variant,positive_metric,negative_metric,delta_positive_better,requirement_satisfied,valid_for_comparison,positive_rows,negative_rows,positive_constant_score_rate,negative_constant_score_rate,positive_first_option_prediction_rate,negative_first_option_prediction_rate,positive_tokenizer_sources,negative_tokenizer_sources,positive_tokenizer_classes,negative_tokenizer_classes,positive_tokenizer_vocab_sizes,negative_tokenizer_vocab_sizes,notes,positive_jsonl,negative_jsonl,run_dir
blend,letter_name_grounded,maple_1b_chat,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.2493638677,0.2569974555,-0.007633587786,0,1,393,393,0,0,0.989821883,0.9363867684,/path/to/metacul/models/sft/combined_with_metadata_chat,/path/to/metacul/models/sft/combined_without_metadata_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_selected_maple_chat_seed41/blend/letter_name_grounded/maple_1b_chat/seed_41/blend/blend_custom_tplus_eplus.jsonl,results/external_protocol_selected_maple_chat_seed41/blend/letter_name_grounded/maple_1b_chat/seed_41/blend/blend_custom_tminus_eminus.jsonl,results/external_protocol_selected_maple_chat_seed41/blend/letter_name_grounded/maple_1b_chat/seed_41/blend
blend,letter_code_strict,maple_3b_chat,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.2493638677,0.2442748092,0.005089058524,1,1,393,393,0,0,1,0.8727735369,/path/to/metacul/models/sft/combined_with_metadata_3b_best3b_chat,/path/to/metacul/models/sft/combined_without_metadata_3b_best3b_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_selected_maple_chat_seed41/blend/letter_code_strict/maple_3b_chat/seed_41/blend/blend_custom_tplus_eplus.jsonl,results/external_protocol_selected_maple_chat_seed41/blend/letter_code_strict/maple_3b_chat/seed_41/blend/blend_custom_tminus_eminus.jsonl,results/external_protocol_selected_maple_chat_seed41/blend/letter_code_strict/maple_3b_chat/seed_41/blend
blend,name_grounded_the,maple_3b_chat,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.3282442748,0.2671755725,0.06106870229,1,1,393,393,0,0,0.4020356234,0.358778626,/path/to/metacul/models/sft/combined_with_metadata_3b_best3b_chat,/path/to/metacul/models/sft/combined_without_metadata_3b_best3b_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_selected_maple_chat_seed41/blend/name_grounded_the/maple_3b_chat/seed_41/blend/blend_custom_tplus_eplus.jsonl,results/external_protocol_selected_maple_chat_seed41/blend/name_grounded_the/maple_3b_chat/seed_41/blend/blend_custom_tminus_eminus.jsonl,results/external_protocol_selected_maple_chat_seed41/blend/name_grounded_the/maple_3b_chat/seed_41/blend
