family,n_switch_pairs,exact_pair_delta_pp,exact_pair_ci_low_pp,exact_pair_ci_high_pp,margin_switch_delta_pp,margin_switch_ci_low_pp,margin_switch_ci_high_pp
MAPLE 1B,16409,2.6448899993905783,2.4011213358522765,2.8888110183435898,6.118593454811385,5.759034676092388,6.490340666707295
MAPLE 3B,16409,6.362362118349687,6.002803339630691,6.721920897068682,15.387896885855323,14.839417392894145,15.930282162228046
