continent,train_effect_at_i_minus,train_effect_at_i_plus,inference_effect_at_t_minus,inference_effect_at_t_plus,interaction_train_effect
Africa,-0.1041249999999998,-2.31963,0.8896280000000001,-1.3258770000000002,-2.2155050000000003
America,0.346228,-0.6633119999999995,0.01548900000000053,-0.9940509999999989,-1.0095399999999994
Asia,0.1996500000000001,-0.7042619999999999,-0.05599499999999935,-0.9599069999999994,-0.903912
Europe,0.31289800000000056,-0.7820479999999996,0.006809999999999761,-1.0881360000000004,-1.0949460000000002
