continent,condition,notation,mean_ppl,delta_ppl_vs_no_metadata,train_effect_at_i_minus,train_effect_at_i_plus,inference_effect_at_t_minus,inference_effect_at_t_plus,gain_vs_no_metadata
Africa,No metadata,"(T-, I-)",10.493806,0.0,-0.1041249999999998,-2.31963,0.8896280000000001,-1.3258770000000002,0.0
Africa,Train only,"(T+, I-)",10.389681,-0.1041249999999998,-0.1041249999999998,-2.31963,0.8896280000000001,-1.3258770000000002,0.1041249999999998
Africa,Infer only,"(T-, I+)",11.383434,0.8896280000000001,-0.1041249999999998,-2.31963,0.8896280000000001,-1.3258770000000002,-0.8896280000000001
Africa,Train + infer,"(T+, I+)",9.063804,-1.430002,-0.1041249999999998,-2.31963,0.8896280000000001,-1.3258770000000002,1.430002
America,No metadata,"(T-, I-)",8.981938,0.0,0.346228,-0.6633119999999995,0.01548900000000053,-0.9940509999999989,0.0
America,Train only,"(T+, I-)",9.328166,0.346228,0.346228,-0.6633119999999995,0.01548900000000053,-0.9940509999999989,-0.346228
America,Infer only,"(T-, I+)",8.997427,0.01548900000000053,0.346228,-0.6633119999999995,0.01548900000000053,-0.9940509999999989,-0.01548900000000053
America,Train + infer,"(T+, I+)",8.334115,-0.6478229999999989,0.346228,-0.6633119999999995,0.01548900000000053,-0.9940509999999989,0.6478229999999989
Asia,No metadata,"(T-, I-)",8.29483,0.0,0.1996500000000001,-0.7042619999999999,-0.05599499999999935,-0.9599069999999994,0.0
Asia,Train only,"(T+, I-)",8.49448,0.1996500000000001,0.1996500000000001,-0.7042619999999999,-0.05599499999999935,-0.9599069999999994,-0.1996500000000001
Asia,Infer only,"(T-, I+)",8.238835,-0.05599499999999935,0.1996500000000001,-0.7042619999999999,-0.05599499999999935,-0.9599069999999994,0.05599499999999935
Asia,Train + infer,"(T+, I+)",7.534573,-0.7602569999999993,0.1996500000000001,-0.7042619999999999,-0.05599499999999935,-0.9599069999999994,0.7602569999999993
Europe,No metadata,"(T-, I-)",9.320186,0.0,0.31289800000000056,-0.7820479999999996,0.006809999999999761,-1.0881360000000004,0.0
Europe,Train only,"(T+, I-)",9.633084,0.31289800000000056,0.31289800000000056,-0.7820479999999996,0.006809999999999761,-1.0881360000000004,-0.31289800000000056
Europe,Infer only,"(T-, I+)",9.326996,0.006809999999999761,0.31289800000000056,-0.7820479999999996,0.006809999999999761,-1.0881360000000004,-0.006809999999999761
Europe,Train + infer,"(T+, I+)",8.544948,-0.7752379999999999,0.31289800000000056,-0.7820479999999996,0.006809999999999761,-1.0881360000000004,0.7752379999999999
