plot,meta,step,continent,test_scope,test_path,model_a,model_b,n_samples,mean_nll_a,mean_nll_b,mean_ppl_a,mean_ppl_b,delta_nll,delta_nll_ci_low,delta_nll_ci_high,delta_ppl,delta_ppl_ci_low,delta_ppl_ci_high,p_value,status
plot7,with_metadata,4000,america,all,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_america_with_metadata_1b_step4k,/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step4k,1000,2.3935606106309395,2.3412409557083,10.952421908132216,10.39412721421308,0.0523196549226394,0.0419603798774125,0.0635838628032205,0.5582946939191356,0.4439623477918872,0.6820975975666816,0.0,ok
plot7,with_metadata,4000,asia,left_out,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_asia_with_metadata_1b_step4k,/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step4k,1000,2.592181254404162,2.293842534109017,13.358878959946017,9.912955461568554,0.2983387202951446,0.2773707326371163,0.3212103888873175,3.4459234983774607,3.2105600337207325,3.6910248366846834,0.0,ok
plot7,with_metadata,4000,asia,all,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_asia_with_metadata_1b_step4k,/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step4k,1000,2.394550740125175,2.3412409557083,10.963271594507631,10.39412721421308,0.053309784416875,0.0410051969570141,0.0672009475384112,0.569144380294551,0.4401225152700226,0.7162208085866998,0.0,ok
plot7,with_metadata,4000,europe,left_out,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_europe_with_metadata_1b_step4k,/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step4k,1000,2.692145565277942,2.322675250949717,14.763317625316605,10.202933234404016,0.3694703143282249,0.3465643555512257,0.3948516244379467,4.560384390912587,4.277342897066619,4.8601244590739965,0.0,ok
plot7,with_metadata,4000,europe,all,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_europe_with_metadata_1b_step4k,/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step4k,1000,2.4286229778671764,2.3412409557083,11.34325141233072,10.39412721421308,0.0873820221588763,0.0719942411358751,0.1035873738779187,0.9491241981176408,0.7817066403598801,1.1322139444024617,0.0,ok
plot7,with_metadata,8000,africa,left_out,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_africa_with_metadata_1b_step8k,/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step8k,1000,2.511347570572525,2.0887207204268075,12.321522999724236,8.074578910373285,0.4226268501457171,0.3975748347001141,0.4472667471972261,4.246944089350951,4.0065936752956,4.487981948312883,0.0,ok
plot7,with_metadata,8000,africa,all,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_africa_with_metadata_1b_step8k,/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step8k,1000,2.271836984919903,2.230324294621662,9.697198069041727,9.302882465107722,0.0415126902982407,0.0233841639278079,0.0599649277768901,0.3943156039340074,0.2213256937354915,0.5706556862013226,0.0,ok
plot7,with_metadata,8000,america,left_out,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_america_with_metadata_1b_step8k,/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step8k,1000,2.540358310055597,2.290037013904944,12.684215038488343,9.8753031979424,0.2503212961506538,0.2338351460143186,0.2677241894324398,2.808911840545946,2.630492762644427,2.9985970851262245,0.0,ok
plot7,with_metadata,8000,america,all,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_america_with_metadata_1b_step8k,/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step8k,1000,2.2988968472224065,2.230324294621662,9.963185474525371,9.302882465107722,0.0685725526007443,0.0580524584951227,0.0795476311279791,0.6603030094176496,0.5541442942636385,0.7760847878490581,0.0,ok
plot7,with_metadata,8000,asia,left_out,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_asia_with_metadata_1b_step8k,/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step8k,1000,2.490925032093417,2.184793714140105,12.072438349857975,8.888814727442195,0.3061313179533127,0.2859387159774669,0.3282012599942008,3.18362362241578,2.98117123453325,3.4067986956781797,0.0,ok
plot7,with_metadata,8000,asia,all,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_asia_with_metadata_1b_step8k,/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step8k,1000,2.2966782396806464,2.230324294621662,9.94110557846044,9.302882465107722,0.0663539450589842,0.0539554977441974,0.0797849595403539,0.6382231133527192,0.5184706636861399,0.7688947622480679,0.0,ok
