family,variant,variant_label,n_switch_pairs,seed_count,target_accuracy_pct,target_ci_low_pct,target_ci_high_pct,contrast_accuracy_pct,contrast_ci_low_pct,contrast_ci_high_pct,exact_pair_accuracy_pct,exact_pair_ci_low_pct,exact_pair_ci_high_pct,margin_switch_rate_pct,margin_switch_ci_low_pct,margin_switch_ci_high_pct
MAPLE 1B,tplus_eplus,"(T+, I+)",16409,5,38.818940825156936,38.100950697787795,39.52830763605339,24.764458528856117,24.134316533609606,25.401944055091718,2.566884027058322,2.371838625144737,2.767993174477421,6.007678712901457,5.709062100067037,6.3172649155951
MAPLE 1B,tminus_eminus,"(T-, I-)",16409,5,34.68584313486501,34.05076482418185,35.336705466512285,23.518800658175394,22.941068925589615,24.111188981656408,0.0,0.0,0.0,0.0,0.0,0.0
MAPLE 3B,tplus_eplus,"(T+, I+)",16409,5,39.7988908525809,39.17359375952221,40.44853434091048,27.617770735571945,27.029069413126944,28.196812724724236,6.412334694375037,6.136845633493814,6.704887561703944,15.458589798281434,15.00639892741788,15.881528429520387
MAPLE 3B,tminus_eminus,"(T-, I-)",16409,5,31.688707416661593,31.20970199280883,32.17511731366932,23.777195441525993,23.327350844049,24.231823999024925,0.0,0.0,0.0,0.0,0.0,0.0
