model_path,test_set_path,mean_ppl,ci_low,ci_high
/path/to/metacul/models/asia_without_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,9.299905396415864,9.299905396415864,9.299905396415864
/path/to/metacul/models/asia_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,8.503802269398502,8.503802269398502,8.503802269398502
/path/to/metacul/models/asia_without_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/asia/without_metadata/,9.384823087040417,9.384823087040417,9.384823087040417
/path/to/metacul/models/asia_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/asia/without_metadata/,9.692307127401662,9.692307127401662,9.692307127401662
/path/to/metacul/models/asia_without_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,19.58751943227711,19.58751943227711,19.58751943227711
/path/to/metacul/models/asia_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,18.211085926415954,18.211085926415954,18.211085926415954
/path/to/metacul/models/asia_without_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/europe/without_metadata/,19.8246924317264,19.8246924317264,19.8246924317264
/path/to/metacul/models/asia_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/europe/without_metadata/,19.97994848183909,19.97994848183909,19.97994848183909
/path/to/metacul/models/europe_without_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,18.93049040102886,18.93049040102886,18.93049040102886
/path/to/metacul/models/europe_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,16.819759026130885,16.819759026130885,16.819759026130885
/path/to/metacul/models/europe_without_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/africa/without_metadata/,18.879621690202917,18.879621690202917,18.879621690202917
/path/to/metacul/models/europe_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/africa/without_metadata/,19.17587793573356,19.17587793573356,19.17587793573356
/path/to/metacul/models/europe_without_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,17.380178507621096,17.380178507621096,17.380178507621096
/path/to/metacul/models/europe_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/america/with_metadata/,16.015024978116163,16.015024978116163,16.015024978116163
/path/to/metacul/models/europe_without_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/america/without_metadata/,17.28967752142802,17.28967752142802,17.28967752142802
/path/to/metacul/models/europe_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/america/without_metadata/,17.573083578692977,17.573083578692977,17.573083578692977
/path/to/metacul/models/europe_without_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,18.537245050333546,18.537245050333546,18.537245050333546
/path/to/metacul/models/europe_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/asia/with_metadata/,16.52826688243471,16.52826688243471,16.52826688243471
/path/to/metacul/models/europe_without_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/asia/without_metadata/,18.387827539714383,18.387827539714383,18.387827539714383
/path/to/metacul/models/europe_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/asia/without_metadata/,18.637214354768947,18.637214354768947,18.637214354768947
/path/to/metacul/models/europe_without_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,10.698450006948358,10.698450006948358,10.698450006948358
/path/to/metacul/models/europe_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/europe/with_metadata/,9.622869541162103,9.622869541162103,9.622869541162103
/path/to/metacul/models/europe_without_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/europe/without_metadata/,10.491327492851267,10.491327492851267,10.491327492851267
/path/to/metacul/models/europe_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/continents/europe/without_metadata/,10.772531542880706,10.772531542880706,10.772531542880706
/path/to/metacul/models/africa_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/continents/africa/with_metadata/,11.383434132509995,11.383434132509995,11.383434132509995
