benchmark,metric,rows,maple_1b_protocol,maple_1b_positive,maple_1b_negative,maple_1b_delta_positive_better,maple_1b_satisfied,maple_3b_protocol,maple_3b_positive,maple_3b_negative,maple_3b_delta_positive_better,maple_3b_satisfied,llama32_1b_protocol,llama32_1b_positive,llama32_1b_negative,llama32_1b_delta_positive_better,llama32_1b_satisfied
geomlama,accuracy,150,figure9_1b,0.3933333333,0.24,0.1533333333,1,name_plain_qanswer_countryfinal_a025_nobos,0.4133333333,0.3933333333,0.0200000000,1,figure9_1b,0.2133333333,0.2333333333,-0.02,0
globalopinionqa,accuracy,10275,letter_country_first,0.261703163,0.2493430657,0.01236009732,1,name_grounded_qanswer_final_nullavg_alpha1_beta1,0.2793187348,0.1911435523,0.0881751825,1,figure9_3b,0.2364963504,0.2415571776,-0.005060827251,0
worldvaluebench,overall_emd,1458,letter_country_first,0.2809594574,0.2814548087,0.0004953513184,1,letter_legacy,0.2699474166,0.2748056699,0.004858253315,1,figure9_3b,0.3846021948,0.446978357,0.06237616217,1
globalmmlu_cs,accuracy,792,figure9_1b,0.2828282828,0.2815656566,0.001262626263,1,name_plain_qanswer_countryfinal_nullavg_alpha1p5_beta0p5,0.2941919192,0.2550505051,0.0391414141,1,figure9_3b,0.2752525253,0.2765151515,-0.001262626263,0
normad,accuracy,2633,letter_country_first,0.336118496,0.3213064945,0.01481200152,1,figure9_3b,0.3748575769,0.3243448538,0.05051272313,1,figure9_1b,0.3330801367,0.3330801367,0,0
blend,accuracy,393,letter_country_first,0.2977099237,0.2391857506,0.05852417303,1,name_grounded_qanswer_final_nullavg_alpha1_beta1,0.4249363868,0.2900763359,0.1348600509,1,figure9_3b,0.2162849873,0.2111959288,0.005089058524,1
