row_key,track,label,group,metric_key,metric_type,delta,ci_low,ci_high,n,plus_value,minus_value,source_plus,source_minus,rescore_alpha,rescore_beta
maple_1b,base,MAPLE 1B Base,MAPLE family,geomlama,accuracy_pp_gain,2.666666666666667,-8.0,13.333333333333334,150,28.666666666666668,26.0,/path/to/metacul/results/external_protocol_selected_maple_seed41/geomlama/strict_country_a2_b1/maple_1b/seed_41/geomlama/geomlama_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_selected_maple_seed41/geomlama/strict_country_a2_b1/maple_1b/seed_41/geomlama/geomlama_custom_tminus_eminus.jsonl,,0.0
maple_1b,base,MAPLE 1B Base,MAPLE family,globalopinionqa,accuracy_pp_gain,1.2731717254023223,0.387044204522306,2.1389284986759014,9818,26.30882053371359,25.03564880831127,/path/to/metacul/results/external_paper_table_tokenizerfix_20260504/globalopinionqa/letter_country_first/maple_1b/seed_41/globalopinionqa/globalopinionqa_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_paper_table_tokenizerfix_20260504/globalopinionqa/letter_country_first/maple_1b/seed_41/globalopinionqa/globalopinionqa_custom_tminus_eminus.jsonl,,0.0
maple_1b,base,MAPLE 1B Base,MAPLE family,globalmmlu_cs,accuracy_pp_gain,0.12626262626262627,-2.398989898989899,2.6546717171717,792,28.28282828282828,28.156565656565657,/path/to/metacul/results/external_paper_table_tokenizerfix_20260504/globalmmlu_cs/figure9_1b/maple_1b/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_paper_table_tokenizerfix_20260504/globalmmlu_cs/figure9_1b/maple_1b/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tminus_eminus.jsonl,,0.0
maple_1b,base,MAPLE 1B Base,MAPLE family,normad,accuracy_pp_gain,1.4432206608431448,0.2658564375237372,2.583554880364598,2633,34.67527535131029,33.23205469046715,/path/to/metacul/results/external_paper_table_tokenizerfix_20260504/normad/figure9_1b/maple_1b/seed_41/normad/normad_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_paper_table_tokenizerfix_20260504/normad/figure9_1b/maple_1b/seed_41/normad/normad_custom_tminus_eminus.jsonl,,0.0
maple_1b,base,MAPLE 1B Base,MAPLE family,blend,accuracy_pp_gain,9.414758269720101,3.0534351145038165,15.273536895674265,393,29.770992366412212,20.35623409669211,/path/to/metacul/results/external_paper_table_tokenizerfix_20260504/blend/letter_country_first/maple_1b/seed_41/blend/blend_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_paper_table_tokenizerfix_20260504/blend/letter_country_first/maple_1b/seed_41/blend/blend_custom_tminus_eminus.jsonl,0.0,0.975
maple_1b,base,MAPLE 1B Base,MAPLE family,worldvaluebench,wvb_emd_gain,0.027053802773967406,0.0066469191666158845,0.048059993903195014,333,0.2597165066300869,0.2867703094040543,/path/to/metacul/results/external_paper_table_tokenizerfix_20260504/worldvaluebench/letter_country_first/maple_1b/seed_41/worldvaluebench/worldvaluebench_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_paper_table_tokenizerfix_20260504/worldvaluebench/letter_country_first/maple_1b/seed_41/worldvaluebench/worldvaluebench_custom_tminus_eminus.jsonl,0.0,1.3
maple_1b,chat,MAPLE 1B Chat,MAPLE family,geomlama,accuracy_pp_gain,4.0,-6.0,13.349999999999909,150,40.0,36.0,/path/to/metacul/results/external_protocol_selected_maple_chat_seed41/geomlama/strict_country/maple_1b_chat/seed_41/geomlama/geomlama_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_selected_maple_chat_seed41/geomlama/strict_country/maple_1b_chat/seed_41/geomlama/geomlama_custom_tminus_eminus.jsonl,,0.0
maple_1b,chat,MAPLE 1B Chat,MAPLE family,globalopinionqa,accuracy_pp_gain,2.7194948054593606,1.7518842941535953,3.6361784477490326,9818,32.348747199022206,29.629252393562844,/path/to/metacul/results/external_protocol_selected_maple_chat_seed41/globalopinionqa/strict_country_a0_b15/maple_1b_chat/seed_41/globalopinionqa/globalopinionqa_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_selected_maple_chat_seed41/globalopinionqa/strict_country_a0_b15/maple_1b_chat/seed_41/globalopinionqa/globalopinionqa_custom_tminus_eminus.jsonl,0.5,1.5
maple_1b,chat,MAPLE 1B Chat,MAPLE family,globalmmlu_cs,accuracy_pp_gain,0.25686764181234395,-0.592222618622904,1.0702818408847663,14015,26.04352479486265,25.786657153050303,/path/to/metacul/results/external_benchmarks_maple_tuned_seed41/sft_1b_chat/seed_41/mmlu/custom_tplus_eplus/mmlu_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_benchmarks_maple_tuned_seed41/sft_1b_chat/seed_41/mmlu/custom_tminus_eminus/mmlu_custom_tminus_eminus.jsonl,0.0,0.0
maple_1b,chat,MAPLE 1B Chat,MAPLE family,normad,accuracy_pp_gain,3.79794910748196,0.8735282947208508,6.380554500569692,2633,37.14394227117357,33.34599316369161,/path/to/metacul/results/final_benchmark_matrix/closed_form/maple_1b/chat/seed_41/normad/normad_custom_tplus_eplus.jsonl,/path/to/metacul/results/final_benchmark_matrix/closed_form/maple_1b/chat/seed_41/normad/normad_custom_tminus_eminus.jsonl,,0.0
