benchmark,protocol,family,seed,comparison,metric,direction,positive_variant,negative_variant,positive_metric,negative_metric,delta_positive_better,requirement_satisfied,valid_for_comparison,positive_rows,negative_rows,positive_constant_score_rate,negative_constant_score_rate,positive_first_option_prediction_rate,negative_first_option_prediction_rate,positive_tokenizer_sources,negative_tokenizer_sources,positive_tokenizer_classes,negative_tokenizer_classes,positive_tokenizer_vocab_sizes,negative_tokenizer_vocab_sizes,notes,positive_jsonl,negative_jsonl,run_dir
blend,letter_name_grounded,maple_1b_chat,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.3083333333,0.3,0.008333333333,1,1,120,120,0,0,1,0.975,/path/to/metacul/models/sft/combined_with_metadata_chat,/path/to/metacul/models/sft/combined_without_metadata_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_remaining_seed41_120/blend/letter_name_grounded/maple_1b_chat/seed_41/blend/blend_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/blend/letter_name_grounded/maple_1b_chat/seed_41/blend/blend_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/blend/letter_name_grounded/maple_1b_chat/seed_41/blend
blend,letter_country_first,maple_3b_chat,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.3,0.2666666667,0.03333333333,1,1,120,120,0,0,0.9916666667,0.9,/path/to/metacul/models/sft/combined_with_metadata_3b_best3b_chat,/path/to/metacul/models/sft/combined_without_metadata_3b_best3b_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_remaining_seed41_120/blend/letter_country_first/maple_3b_chat/seed_41/blend/blend_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/blend/letter_country_first/maple_3b_chat/seed_41/blend/blend_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/blend/letter_country_first/maple_3b_chat/seed_41/blend
