model_slug,model,meta_tag,meta_label,n_switch_pairs,seed_count,target_accuracy_pct,target_ci_low_pct,target_ci_high_pct,contrast_accuracy_pct,contrast_ci_low_pct,contrast_ci_high_pct,exact_pair_accuracy_pct,exact_pair_ci_low_pct,exact_pair_ci_high_pct,margin_switch_rate_pct,margin_switch_ci_low_pct,margin_switch_ci_high_pct
llama32_1b,LLaMA-3.2-1B,with_metadata,With metadata,1700,5,22.200000000000003,20.42352941176471,23.91764705882353,27.694117647058818,25.717647058823534,29.74147058823529,3.058823529411765,2.3882352941176475,3.7532352941176432,9.223529411764707,8.08235294117647,10.411764705882351
llama32_1b,LLaMA-3.2-1B,without_metadata,Without metadata,1700,5,21.24705882352941,19.541176470588233,22.941176470588236,25.341176470588234,23.44676470588235,27.270588235294113,0.0,0.0,0.0,0.0,0.0,0.0
llama32_3b,LLaMA-3.2-3B,with_metadata,With metadata,1700,5,26.447058823529414,24.47058823529412,28.376470588235293,28.08235294117647,26.023529411764706,30.23529411764706,3.8941176470588235,3.1411764705882352,4.705882352941177,10.741176470588238,9.458823529411765,12.011764705882353
llama32_3b,LLaMA-3.2-3B,without_metadata,Without metadata,1700,5,29.28235294117647,27.35294117647059,31.247058823529418,26.31764705882353,24.376470588235296,28.28235294117647,0.0,0.0,0.0,0.0,0.0,0.0
qwen25_0p5b,Qwen2.5-0.5B,with_metadata,With metadata,1700,5,21.152941176470588,19.411764705882355,22.882647058823522,28.294117647058826,26.34117647058824,30.282352941176466,2.0941176470588236,1.6235294117647059,2.623529411764706,5.752941176470587,5.0,6.553235294117643
qwen25_0p5b,Qwen2.5-0.5B,without_metadata,Without metadata,1700,5,19.647058823529413,18.0,21.32941176470588,27.011764705882346,25.093823529411765,28.941176470588236,0.0,0.0,0.0,0.0,0.0,0.0
qwen25_1p5b,Qwen2.5-1.5B,with_metadata,With metadata,1700,5,31.282352941176473,29.341176470588238,33.21176470588235,34.04705882352941,31.988235294117644,36.11764705882353,8.035294117647059,6.929411764705883,9.15294117647059,21.27058823529412,19.634999999999998,22.90617647058823
qwen25_1p5b,Qwen2.5-1.5B,without_metadata,Without metadata,1700,5,22.729411764705883,21.0,24.447058823529414,28.917647058823526,26.976470588235298,30.92941176470588,0.0,0.0,0.0,0.0,0.0,0.0
qwen25_3b,Qwen2.5-3B,with_metadata,With metadata,1700,5,29.117647058823533,27.235,31.023529411764706,34.788235294117655,32.70588235294118,36.964705882352945,8.905882352941177,7.8,10.023529411764704,25.75294117647059,24.0,27.529705882352935
qwen25_3b,Qwen2.5-3B,without_metadata,Without metadata,1700,5,18.741176470588236,17.164705882352944,20.329411764705885,27.41176470588235,25.49411764705882,29.411764705882355,0.0,0.0,0.0,0.0,0.0,0.0
qwen35_0p8b,Qwen3.5-0.8B,with_metadata,With metadata,1700,5,19.61176470588235,17.894117647058824,21.353235294117642,30.635294117647057,28.611470588235292,32.752941176470586,2.4000000000000004,1.8705882352941179,2.9647058823529413,8.282352941176471,7.247058823529411,9.36470588235294
qwen35_0p8b,Qwen3.5-0.8B,without_metadata,Without metadata,1700,5,16.72941176470588,15.152941176470588,18.388529411764704,29.729411764705883,27.717352941176472,31.752941176470586,0.0,0.0,0.0,0.0,0.0,0.0
qwen35_2b,Qwen3.5-2B,with_metadata,With metadata,1700,5,30.4235294117647,28.435,32.38823529411765,34.83529411764706,32.811764705882354,36.976764705882346,8.129411764705882,7.082058823529412,9.223529411764707,20.094117647058827,18.49411764705882,21.670588235294115
qwen35_2b,Qwen3.5-2B,without_metadata,Without metadata,1700,5,19.541176470588233,17.858823529411765,21.24705882352941,29.835294117647056,27.846764705882354,31.905882352941173,0.0,0.0,0.0,0.0,0.0,0.0
qwen35_4b,Qwen3.5-4B,with_metadata,With metadata,1700,5,16.83529411764706,15.058823529411763,18.64705882352941,26.294117647058822,24.294117647058826,28.352941176470587,0.9529411764705882,0.5882352941176471,1.3411764705882356,2.929411764705882,2.2941176470588234,3.635294117647059
qwen35_4b,Qwen3.5-4B,without_metadata,Without metadata,1700,5,15.4,13.71735294117647,17.141176470588235,25.847058823529412,23.811764705882354,27.905882352941173,0.0,0.0,0.0,0.0,0.0,0.0
qwen35_9b,Qwen3.5-9B,with_metadata,With metadata,1700,5,17.176470588235293,15.4,18.917941176470585,25.458823529411767,23.447058823529414,27.51764705882353,0.8588235294117649,0.5411764705882353,1.2120588235294076,2.564705882352941,1.9882352941176469,3.1882352941176464
qwen35_9b,Qwen3.5-9B,without_metadata,Without metadata,1700,5,16.188235294117646,14.458823529411765,17.92941176470588,24.27058823529412,22.27029411764706,26.270588235294117,0.0,0.0,0.0,0.0,0.0,0.0
gemma4_e2b_it,Gemma-4-E2B-it,with_metadata,With metadata,1700,5,23.070588235294117,21.14117647058823,24.953235294117647,27.35294117647059,25.341176470588234,29.388235294117642,3.5647058823529414,2.835294117647059,4.306176470588232,10.458823529411765,9.305882352941177,11.658823529411764
gemma4_e2b_it,Gemma-4-E2B-it,without_metadata,Without metadata,1700,5,19.50588235294118,17.741176470588236,21.30588235294118,24.823529411764707,22.858529411764707,26.776470588235295,0.0,0.0,0.0,0.0,0.0,0.0
gemma4_e4b_it,Gemma-4-E4B-it,with_metadata,With metadata,1700,5,30.27058823529411,28.235294117647058,32.27088235294117,33.45882352941176,31.376470588235293,35.6,8.764705882352942,7.623529411764707,9.952941176470588,22.988235294117647,21.305882352941175,24.72941176470588
gemma4_e4b_it,Gemma-4-E4B-it,without_metadata,Without metadata,1700,5,22.741176470588236,20.847058823529412,24.5885294117647,25.835294117647056,23.941176470588236,27.800000000000004,0.0,0.0,0.0,0.0,0.0,0.0
mistral7b_v02,Mistral-7B-Instruct-v0.2,with_metadata,With metadata,1700,5,43.317647058823525,41.22323529411764,45.37676470588236,39.247058823529414,37.18794117647059,41.3764705882353,14.811764705882355,13.376176470588232,16.258823529411767,32.31764705882353,30.541176470588237,34.16470588235293
mistral7b_v02,Mistral-7B-Instruct-v0.2,without_metadata,Without metadata,1700,5,27.576470588235296,25.717647058823534,29.423529411764704,26.91764705882353,25.01147058823529,28.84705882352941,0.0,0.0,0.0,0.0,0.0,0.0
