size,train_tag,step,tokens_b,mean_ppl,ci_low,ci_high,model_path,test_set_path,final_tminus_target_ppl,tplus_cross_tokens_b,tminus_final_tokens_b,token_savings_frac
1B,T+,2000,8.388608,11.991643,11.570336,12.39099,/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step2k,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,9.963763,23.393795949162644,41.94304,0.4422484410008754
1B,T+,4000,16.777216,10.394127,10.032014,10.729147,/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step4k,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,9.963763,23.393795949162644,41.94304,0.4422484410008754
1B,T+,8000,33.554432,9.302882,8.975903,9.603152,/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step8k,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,9.963763,23.393795949162644,41.94304,0.4422484410008754
1B,T+,10000,41.94304,9.150932,8.82721,9.447744,/path/to/metacul/models/combined_with_metadata_1b,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,9.963763,23.393795949162644,41.94304,0.4422484410008754
1B,T-,2000,8.388608,13.094067,12.626786,13.542662,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step2k,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,9.963763,23.393795949162644,41.94304,0.4422484410008754
1B,T-,4000,16.777216,11.260589,10.866038,11.631489,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step4k,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,9.963763,23.393795949162644,41.94304,0.4422484410008754
1B,T-,8000,33.554432,10.113914,9.759035,10.438066,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step8k,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,9.963763,23.393795949162644,41.94304,0.4422484410008754
1B,T-,10000,41.94304,9.963763,9.61186,10.285966,/path/to/metacul/models/combined_without_metadata_1b,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,9.963763,23.393795949162644,41.94304,0.4422484410008754
3B,T+,2000,8.388608,12.128906,11.69136,12.545493,/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_3b_step2k,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,9.804461,20.725693396967355,41.94304,0.5058609629400408
3B,T+,4000,16.777216,10.060759,9.705824,10.388982,/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_3b_step4k,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,9.804461,20.725693396967355,41.94304,0.5058609629400408
3B,T+,8000,33.554432,8.97174,8.648795,9.266777,/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_3b_step8k,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,9.804461,20.725693396967355,41.94304,0.5058609629400408
3B,T+,10000,41.94304,8.88929,8.575362,9.18097,/path/to/metacul/models/combined_with_metadata_3b,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,9.804461,20.725693396967355,41.94304,0.5058609629400408
3B,T-,2000,8.388608,13.213083,12.738681,13.669506,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_3b_step2k,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,9.804461,20.725693396967355,41.94304,0.5058609629400408
3B,T-,4000,16.777216,10.959823,10.574701,11.322638,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_3b_step4k,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,9.804461,20.725693396967355,41.94304,0.5058609629400408
3B,T-,8000,33.554432,9.891383,9.538385,10.214014,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_3b_step8k,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,9.804461,20.725693396967355,41.94304,0.5058609629400408
3B,T-,10000,41.94304,9.804461,9.455572,10.129962,/path/to/metacul/models/combined_without_metadata_3b,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,9.804461,20.725693396967355,41.94304,0.5058609629400408
500M,T+,2000,8.388608,14.364348,13.844517,14.861654,/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_500m_step2k,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,,,,
500M,T+,4000,16.777216,12.329452,11.893222,12.746823,/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_500m_step4k,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,,,,
500M,T+,8000,33.554432,10.980475,10.591991,11.343316,/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_500m_step8k,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,,,,
500M,T+,10000,41.94304,10.772432,10.387641,11.131924,/path/to/metacul/models/combined_with_metadata_500m,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,,,,
500M,T-,2000,8.388608,15.56924,14.995885,16.112676,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_500m_step2k,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,,,,
500M,T-,4000,16.777216,13.301324,12.833355,13.758547,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_500m_step4k,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,,,,
500M,T-,8000,33.554432,11.879996,11.460197,12.287163,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_500m_step8k,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,,,,
500M,T-,10000,41.94304,11.65848,11.244761,12.048933,/path/to/metacul/models/combined_without_metadata_500m,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,,,,
