model_slug,model_label,with_metadata_Ambiguous,with_metadata_Explicit,with_metadata_Overall,without_metadata_Ambiguous,without_metadata_Explicit,without_metadata_Overall,with_metadata_Ambiguous_std,with_metadata_Explicit_std,with_metadata_Overall_std,without_metadata_Ambiguous_std,without_metadata_Explicit_std,without_metadata_Overall_std
gemma4_e2b_it,Gemma-4-E2B-it,0.42159790358949356,0.34477266889288466,0.37991302893460444,0.38667804253763177,0.33871050603647573,0.36065116797680774,0.0,0.0,0.0,0.0,0.0,0.0
gemma4_e4b_it,Gemma-4-E4B-it,0.48040709366810896,0.3974312869252504,0.4353849584657412,0.40819062709488696,0.3749807346519394,0.3901711545966438,0.0,0.0,0.0,0.0,0.0,0.0
llama32_1b,LLaMA-3.2-1B,0.4197086964470717,0.3261238119702029,0.36893014439426886,0.4029496008288135,0.35381453891600306,0.37628923454312313,0.0,0.0,0.0,0.0,0.0,0.0
llama32_3b,LLaMA-3.2-3B,0.444938753123286,0.38083740046236836,0.4101577744327368,0.44512157962093973,0.4661186745440534,0.45651446730222445,0.0,0.0,0.0,0.0,0.0,0.0
mistral7b_v02,Mistral-7B-Instruct-v0.2,0.5926016210616125,0.5785255586950938,0.5849640408094999,0.4394539581936742,0.5126123811970202,0.4791492445782461,0.0,0.0,0.0,0.0,0.0,0.0
qwen25_0p5b,Qwen2.5-0.5B,0.43884453653482847,0.37076804520935014,0.4019066733567486,0.40867816442196353,0.3815052658618032,0.39393432569548975,0.0,0.0,0.0,0.0,0.0,0.0
qwen25_1p5b,Qwen2.5-1.5B,0.5080748369797062,0.4366812227074236,0.46933712437977365,0.4233652264001463,0.46832776778833807,0.4477616100797235,0.0,0.0,0.0,0.0,0.0,0.0
qwen25_3b,Qwen2.5-3B,0.49740995794990556,0.4200359619830465,0.45542732898478006,0.4133097690291913,0.4279989725147701,0.4212800356804371,0.0,0.0,0.0,0.0,0.0,0.0
qwen35_0p8b,Qwen3.5-0.8B,0.4154427448351514,0.354482404315438,0.38236605898422255,0.3804009994515205,0.37343950680708965,0.37662373864079834,0.0,0.0,0.0,0.0,0.0,0.0
qwen35_2b,Qwen3.5-2B,0.4976537266134438,0.4452607243770871,0.46922562301388193,0.41257846303857637,0.4268687387618803,0.42033227407035734,0.0,0.0,0.0,0.0,0.0,0.0
qwen35_4b,Qwen3.5-4B,0.36760314461575966,0.30598510146416646,0.33416959357752135,0.35718203424949724,0.30428975083483173,0.328483023917043,0.0,0.0,0.0,0.0,0.0,0.0
qwen35_9b,Qwen3.5-9B,0.3726613443841794,0.3062933470331364,0.3366504989686124,0.3624840026814553,0.3074235807860262,0.33260857445503705,0.0,0.0,0.0,0.0,0.0,0.0
