family,series,split,accuracy,accuracy_std,seed_count,total
1B,1B T+/I+,Overall,0.2793139177269193,0.15673625165308475,5,0
1B,1B T+/I+,Explicit,0.2793139177269193,0.15673625165308475,5,0
1B,1B T+/I+,Ambiguous,0.0,0.0,5,0
1B,1B T-/I-,Overall,0.34194981939198743,0.005562291465282509,4,1012
1B,1B T-/I-,Explicit,0.34194981939198743,0.005562291465282509,4,1012
1B,1B T-/I-,Ambiguous,0.0,0.0,4,0
