split_type,model,continent,mean,std,count,ci95
ambiguous,"Global(T+,I+)",Africa,0.7059662054643872,0.007469259199920462,5,0.006547094354534435
ambiguous,"Global(T+,I+)",America,0.7283931402079048,0.00808104483320872,5,0.007083348105901033
ambiguous,"Global(T+,I+)",Asia,0.688199522482542,0.0032871201383787786,5,0.002881287839212398
ambiguous,"Global(T+,I+)",Europe,0.6970456303607013,0.006912142779125049,5,0.006058760280728706
ambiguous,"Global(T-,I-)",Africa,0.7620188921706504,0.0008984143525704252,5,0.0007874949012091019
ambiguous,"Global(T-,I-)",America,0.7505489629349955,0.0030720205342032714,5,0.002692744723159463
ambiguous,"Global(T-,I-)",Asia,0.740776634041149,0.0017625693852180487,5,0.0015449601844797674
ambiguous,"Global(T-,I-)",Europe,0.7573324799925822,0.0033700702779314207,5,0.0029539968423192564
ambiguous,LLaMA-3.2(I+),Africa,0.6706177424187596,0.009172747907163603,5,0.008040268041467603
ambiguous,LLaMA-3.2(I+),America,0.6710028838210004,0.01886680189111371,5,0.01653748100624832
ambiguous,LLaMA-3.2(I+),Asia,0.6831754266911452,0.012478486639775346,5,0.010937875798081358
ambiguous,LLaMA-3.2(I+),Europe,0.6434061542887703,0.005808157060578365,5,0.005091074132487846
ambiguous,LLaMA-3.2(I-),Africa,0.4783509254889843,0.0008509065649714747,5,0.000745852489336607
ambiguous,LLaMA-3.2(I-),America,0.6258854251721377,0.0050887374077303975,5,0.0044604750032258425
ambiguous,LLaMA-3.2(I-),Asia,0.4932612658943225,0.0018063724882012133,5,0.001583355297110913
ambiguous,LLaMA-3.2(I-),Europe,0.5536300383531128,0.0013600570000923571,5,0.0011921425229485315
explicit,"Global(T+,I+)",Africa,0.6890229144941639,0.009472169472182813,5,0.008302722615006036
explicit,"Global(T+,I+)",America,0.6985285218780011,0.004252185930570278,5,0.0037272053031395503
explicit,"Global(T+,I+)",Asia,0.6781556784417742,0.005003388386936614,5,0.004385663288001129
explicit,"Global(T+,I+)",Europe,0.7016099152927572,0.008112554767623781,5,0.007110967781185939
explicit,"Global(T-,I-)",Africa,0.7304623513319447,0.0009141784340310829,5,0.0008013127278466608
explicit,"Global(T-,I-)",America,0.7044918107267334,0.002924964670568404,5,0.002563844575389082
explicit,"Global(T-,I-)",Asia,0.696601442847048,0.0011303523145385324,5,0.0009907974886222937
explicit,"Global(T-,I-)",Europe,0.7592939913883896,0.0014630153703985552,5,0.0012823895135725754
explicit,LLaMA-3.2(I+),Africa,0.6548411842726971,0.01206502807694844,5,0.010575463388756106
explicit,LLaMA-3.2(I+),America,0.6846403864145709,0.010364875489822772,5,0.009085213940037537
explicit,LLaMA-3.2(I+),Asia,0.6726275547839625,0.010813286596601204,5,0.009478263604953555
explicit,LLaMA-3.2(I+),Europe,0.6867609299093888,0.016635416959185096,5,0.01458158587667796
explicit,LLaMA-3.2(I-),Africa,0.6395393165826396,0.0011197988380033514,5,0.0009815469585771012
explicit,LLaMA-3.2(I-),America,0.7027751474109872,0.0017827327836594676,5,0.0015626341824721583
explicit,LLaMA-3.2(I-),Asia,0.6664626424506397,0.0007192123002743711,5,0.0006304173767176539
explicit,LLaMA-3.2(I-),Europe,0.6982035413771662,0.0030468765402580037,5,0.0026707050407219777
