family,series,split,accuracy,accuracy_std,seed_count,total
1B,1B T+/I+,Overall,0.34447789485421193,0.0008474287196191728,5,35874
1B,1B T+/I+,Explicit,0.30762907783200616,0.0009038074536737327,5,19465
1B,1B T+/I+,Ambiguous,0.3881894082515693,0.0010309858380063367,5,16409
1B,1B T+/I-,Overall,0.3326141495233317,0.0010030088619710996,5,35874
1B,1B T+/I-,Explicit,0.30476239404058564,0.0014197340138602523,5,19465
1B,1B T+/I-,Ambiguous,0.3656529953074532,0.0015381107275426972,5,16409
1B,1B T-/I+,Overall,0.3274460612142499,0.0006944821198906293,5,35874
1B,1B T-/I+,Explicit,0.2999229386077575,0.0013381984359240682,5,19465
1B,1B T-/I+,Ambiguous,0.36009506977878,0.0007530735660470095,5,16409
1B,1B T-/I-,Overall,0.3224842504320678,0.0006174875778163838,5,35874
1B,1B T-/I-,Explicit,0.3019368096583611,0.0007937281835930826,5,19465
1B,1B T-/I-,Ambiguous,0.34685843134865013,0.001314572101572128,5,16409
3B,3B T+/I+,Overall,0.3630818977532475,0.0008170851741344001,5,35874
3B,3B T+/I+,Explicit,0.33365527870536865,0.0007538199151101834,5,19465
3B,3B T+/I+,Ambiguous,0.397988908525809,0.0014712201232988198,5,16409
3B,3B T+/I-,Overall,0.3262752968723867,0.0021188376926941383,5,35874
3B,3B T+/I-,Explicit,0.3178011816080144,0.001827220061009878,5,19465
3B,3B T+/I-,Ambiguous,0.3363276250837955,0.003420479158689809,5,16409
3B,3B T-/I+,Overall,0.3416792105703295,0.0013053281607870385,5,35874
3B,3B T-/I+,Explicit,0.32113023375288985,0.0027381565685188985,5,19465
3B,3B T-/I+,Ambiguous,0.36605521360229143,0.002398366530806038,5,16409
3B,3B T-/I-,Overall,0.3123933768188661,0.002048543653506014,5,35874
3B,3B T-/I-,Explicit,0.308605188800411,0.0025199585858578445,5,19465
3B,3B T-/I-,Ambiguous,0.3168870741666159,0.0023572883517381524,5,16409
