family,series,split,accuracy,accuracy_std,seed_count,total
1B,1B T+/I+,Overall,0.3588113954395941,0.0,1,35874
1B,1B T+/I+,Explicit,0.3177498073465194,0.0,1,19465
1B,1B T+/I+,Ambiguous,0.4075202632701566,0.0,1,16409
1B,1B T+/I-,Overall,0.34077604950660645,0.0,1,35874
1B,1B T+/I-,Explicit,0.325815566401233,0.0,1,19465
1B,1B T+/I-,Ambiguous,0.3585227618989579,0.0,1,16409
1B,1B T-/I+,Overall,0.32594636784300607,0.0,1,35874
1B,1B T-/I+,Explicit,0.30017980991523247,0.0,1,19465
1B,1B T-/I+,Ambiguous,0.3565116704247669,0.0,1,16409
1B,1B T-/I-,Overall,0.3169426325472487,0.0,1,35874
1B,1B T-/I-,Explicit,0.3011045466221423,0.0,1,19465
1B,1B T-/I-,Ambiguous,0.33573039185812664,0.0,1,16409
3B,3B T+/I+,Overall,0.32221107208563304,0.0,1,35874
3B,3B T+/I+,Explicit,0.2889288466478294,0.0,1,19465
3B,3B T+/I+,Ambiguous,0.36169175452495583,0.0,1,16409
3B,3B T+/I-,Overall,0.32143056252439095,0.0,1,35874
3B,3B T+/I-,Explicit,0.29226817364500385,0.0,1,19465
3B,3B T+/I-,Ambiguous,0.35602413309769027,0.0,1,16409
3B,3B T-/I+,Overall,0.3182248982550036,0.0,1,35874
3B,3B T-/I+,Explicit,0.28820960698689957,0.0,1,19465
3B,3B T-/I+,Ambiguous,0.35383021512584556,0.0,1,16409
3B,3B T-/I-,Overall,0.31978591737748785,0.0,1,35874
3B,3B T-/I-,Explicit,0.30428975083483173,0.0,1,19465
3B,3B T-/I-,Ambiguous,0.33816807849350966,0.0,1,16409
