rank,label,family,distance_with_meta,distance_no_meta,delta_distance,RC1_with_meta,RC2_with_meta,RC1_no_meta,RC2_no_meta
1,MAPLE 1B,MAPLE,0.6949287584632124,6.531096127529748,-5.836167369066536,-0.38253961376678824,0.1041351931484911,-2.882010496957524,5.590272442428188
2,MAPLE 3B,MAPLE,0.7461714416403704,5.345230543816109,-4.5990591021757385,0.2520179225359338,0.6172642446721945,-0.030012621204203605,5.208044758305085
3,Gemma 4 31B,Google,0.9513246306753573,3.409975437085342,-2.4586508064099846,-0.007480731587876,-1.0379025328420728,3.477294447359976,1.0356697238045485
4,Claude Haiku 4.5,Anthropic,0.44527677697999635,2.4338834015796755,-1.9886066245996792,0.5266106560544533,-0.4941056958759454,2.1951740924681604,1.363391928559773
5,GPT-5.4,OpenAI,0.3805075117957743,2.2567795788463174,-1.876272067050543,0.5336767181285217,-0.4051112548103652,2.202536310588276,1.040570054614278
6,Qwen 3.5 397B,Qwen,0.35174987196519686,2.18006152117711,-1.8283116492119134,0.5777062725747356,-0.303052999306026,1.730003393319209,1.492358519772734
7,DeepSeek-V3.1,DeepSeek,0.40060982026817976,2.1585209959054943,-1.7579111756373145,0.6433337483062888,-0.2795718380952487,1.1946411079985175,1.8228796048274805
8,Llama 3.3 70B,Meta,1.0162897005606253,2.610850565575724,-1.5945608650150989,1.1340902002718554,-0.6672147389874674,1.8313688943736328,1.9655681684661013
9,Gemini 2.5 Flash-Lite,Google,0.6194313009689831,2.123227137939391,-1.5037958369704079,0.7677512708670414,0.2430796395294739,2.394459682296016,-0.0630199294216888
10,Gemini 2.5 Flash,Google,0.4635120051966105,1.8046638345285337,-1.3411518293319231,0.5153896543622504,-0.523252801301774,2.074544437411424,-0.0362531707856079
11,GPT-4,OpenAI,1.4984300144865423,2.5417299943571487,-1.0432999798706064,1.7119285036117022,-0.5440947322591299,2.8122431437684523,-0.034777374248946856
12,GPT-4-turbo,OpenAI,1.5509043199111257,2.5169710332360395,-0.9660667133249139,1.8214251657443028,-0.2017762896654392,2.752519837929594,-0.5568709600875825
13,GPT-5.4-nano,OpenAI,1.0714500554636184,2.0190475109926562,-0.9475974555290378,0.7008847196233752,0.853341886544532,2.1348875462581787,0.6505470816818282
14,GPT-4o,OpenAI,1.2934588531673326,2.20816017977295,-0.9147013266056176,1.4909584169657952,-0.5619657140022588,2.399624229964563,0.46317424613427294
15,Claude Opus 4.7,Anthropic,0.6493750280901404,1.4921359929445588,-0.8427609648544184,0.4156986538987371,-0.7619649555222525,1.6596780877774862,0.4204605409406904
16,Claude Sonnet 4.6,Anthropic,0.3719633065654582,1.1032106660398677,-0.7312473594744096,0.3136144609489583,-0.4982887342464867,0.8843700429471101,0.7891789348361458
17,GPT-3.5-turbo,OpenAI,2.7197431501676648,3.2535206383372572,-0.5337774881695925,2.987081836716281,0.0346838718102861,3.39455955499744,0.7860026573416417
18,GPT-3,OpenAI,1.8735274508028377,2.1600708291753765,-0.28654337837253885,2.102282548014211,0.2727066836223366,2.428521721967389,-0.2566311516612595
19,GLM-5.1,Zhipu,2.2521425945752216,2.2521425945752216,0.0,1.9331162084582496,1.3924385087683573,1.9331162084582496,1.3924385087683573
20,Kimi K2.5,Moonshot,2.1786938034328758,2.1786938034328758,0.0,1.847482929272652,1.3764707575404953,1.847482929272652,1.3764707575404953
