family,series,split,accuracy,accuracy_std,seed_count,total
1B,1B T+/I+,Overall,0.356358365389976,0.0,1,35874
1B,1B T+/I+,Explicit,0.35242743385563835,0.0,1,19465
1B,1B T+/I+,Ambiguous,0.36102139070022554,0.0,1,16409
1B,1B T-/I-,Overall,0.3333612086748063,0.0,1,35874
1B,1B T-/I-,Explicit,0.3470845106601593,0.0,1,19465
1B,1B T-/I-,Ambiguous,0.3170820890974465,0.0,1,16409
3B,3B T+/I+,Overall,0.4082343758711044,0.0,1,35874
3B,3B T+/I+,Explicit,0.3985615206781403,0.0,1,19465
3B,3B T+/I+,Ambiguous,0.4197086964470717,0.0,1,16409
3B,3B T-/I-,Overall,0.3590343981713776,0.0,1,35874
3B,3B T-/I-,Explicit,0.38243000256871307,0.0,1,19465
3B,3B T-/I-,Ambiguous,0.3312816137485527,0.0,1,16409
