row_key,track,label,short_label,group,side,condition,condition_marker,external_geomlama,external_geomlama_metric_type,external_globalopinionqa,external_globalopinionqa_metric_type,external_globalmmlu_cs,external_globalmmlu_cs_metric_type,external_normad,external_normad_metric_type,external_blend,external_blend_metric_type,external_worldvaluebench,external_worldvaluebench_metric_type,localnewsqa_overall,localnewsqa_ambiguous,localnewsqa_explicit,localnewsqa_exact_pair,localnewsqa_margin_switch,external_blend_score,external_geomlama_score,external_globalmmlu_cs_score,external_globalopinionqa_score,external_normad_score,external_worldvaluebench_score,external_downstream_index,external_metric_count,plot_label,pareto_localnewsqa_overall,pareto_localnewsqa_ambiguous
gemma4_e2b,base,Gemma-4-E2B Base,Gemma E2B-B,Gemma-4 family,minus,Without metadata,-,30.666666666666664,accuracy_pp_gain,16.69382766347525,accuracy_pp_gain,31.565656565656564,accuracy_pp_gain,33.87770603873908,accuracy_pp_gain,22.900763358778622,accuracy_pp_gain,0.3537570492303002,wvb_emd_gain,30.046830573674526,33.95088061429703,26.75571538659132,0.2193917971844719,0.5301968431958072,33.6206896551724,30.23255813953487,28.571428571428566,8.402860548271766,9.680968096809677,52.442431833509985,27.15848947412121,6,Gemma E2B-B -,False,False
gemma4_e2b,base,Gemma-4-E2B Base,Gemma E2B-B,Gemma-4 family,plus,With metadata,+,33.33333333333333,accuracy_pp_gain,16.948462008555715,accuracy_pp_gain,31.818181818181817,accuracy_pp_gain,39.99240410178504,accuracy_pp_gain,22.646310432569976,accuracy_pp_gain,0.3547858558146624,wvb_emd_gain,32.29358309639293,36.39466146626852,28.836372977138453,0.7434944237918215,1.9989030410140776,32.758620689655174,39.53488372093021,29.761904761904756,9.892729439809314,27.392739273927408,51.92215049619424,31.877171397070185,6,Gemma E2B-B +,False,False
gemma4_e2b,chat,Gemma-4-E2B-it,Gemma E2B-I,Gemma-4 family,minus,Without metadata,-,37.333333333333336,accuracy_pp_gain,16.83642289672031,accuracy_pp_gain,34.090909090909086,accuracy_pp_gain,44.24610710216484,accuracy_pp_gain,22.391857506361323,accuracy_pp_gain,0.3518518518518518,wvb_emd_gain,36.06511679768077,38.66780425376318,33.871050603647575,0.0,0.0,31.89655172413793,53.48837209302325,40.47619047619045,9.237187127532795,39.713971397139744,53.40591579150209,38.03636476825438,6,Gemma E2B-I -,False,False
gemma4_e2b,chat,Gemma-4-E2B-it,Gemma E2B-I,Gemma-4 family,plus,With metadata,+,39.33333333333333,accuracy_pp_gain,16.785496027704216,accuracy_pp_gain,34.5959595959596,accuracy_pp_gain,45.3475123433346,accuracy_pp_gain,21.882951653944023,accuracy_pp_gain,0.3227594878829447,wvb_emd_gain,37.99130289346044,42.15979035894936,34.477266889288465,4.034371381558901,8.251569260771529,30.172413793103452,60.46511627906974,42.85714285714287,8.939213349225273,42.90429042904291,68.11831583004142,42.24274875627094,6,Gemma E2B-I +,False,False
gemma4_e4b,base,Gemma-4-E4B Base,Gemma E4B-B,Gemma-4 family,minus,Without metadata,-,38.66666666666666,accuracy_pp_gain,18.7512731717254,accuracy_pp_gain,43.81313131313132,accuracy_pp_gain,63.34979111279909,accuracy_pp_gain,30.788804071246812,accuracy_pp_gain,0.3541571406797744,wvb_emd_gain,31.65523777666277,36.01682003778414,27.978422810172106,0.0,0.0,60.34482758620686,58.13953488372089,86.30952380952382,20.441001191895115,95.04950495049505,52.24010020233164,62.08741543736223,6,Gemma E4B-B -,False,False
gemma4_e4b,base,Gemma-4-E4B Base,Gemma E4B-B,Gemma-4 family,plus,With metadata,+,44.0,accuracy_pp_gain,18.2012629863516,accuracy_pp_gain,46.71717171717172,accuracy_pp_gain,65.05886821116597,accuracy_pp_gain,35.87786259541985,accuracy_pp_gain,0.3501181222374638,wvb_emd_gain,32.50264815743993,37.14425010664879,28.58977652196249,1.243220184045341,3.4310439393016026,77.58620689655172,76.74418604651162,100.0,17.222884386174037,100.0,54.28268619327488,70.97266058708537,6,Gemma E4B-B +,True,True
gemma4_e4b,chat,Gemma-4-E4B-it,Gemma E4B-I,Gemma-4 family,minus,Without metadata,-,44.0,accuracy_pp_gain,18.0382970055001,accuracy_pp_gain,37.87878787878788,accuracy_pp_gain,51.69008735282947,accuracy_pp_gain,26.208651399491096,accuracy_pp_gain,0.3108901082152111,wvb_emd_gain,39.01711545966438,40.8190627094887,37.49807346519394,0.0,0.0,44.827586206896555,76.74418604651162,58.333333333333336,16.269368295589995,61.27612761276128,74.12082088833219,55.26190373057083,6,Gemma E4B-I -,False,False
gemma4_e4b,chat,Gemma-4-E4B-it,Gemma E4B-I,Gemma-4 family,plus,With metadata,+,45.33333333333333,accuracy_pp_gain,17.0503157465879,accuracy_pp_gain,40.53030303030303,accuracy_pp_gain,54.19673376376757,accuracy_pp_gain,24.681933842239182,accuracy_pp_gain,0.31997789971041,wvb_emd_gain,43.53849584657412,48.040709366810894,39.74312869252504,8.458772624779085,17.08818331403498,39.65517241379309,81.39534883720927,70.83333333333333,10.488676996424315,68.53685368536856,69.52500240870988,56.73906461247307,6,Gemma E4B-I +,True,True
llama32_1b,base,LLaMA-3.2-1B Base,LLaMA 1B-B,LLaMA family,minus,Without metadata,-,24.666666666666668,accuracy_pp_gain,18.007740884090445,accuracy_pp_gain,27.146464646464647,accuracy_pp_gain,35.09304975313331,accuracy_pp_gain,15.267175572519085,accuracy_pp_gain,0.4473975003810395,wvb_emd_gain,36.399620895355966,39.83789383874703,33.50115592088363,0.0,0.0,7.75862068965518,9.302325581395351,7.738095238095253,16.090584028605488,13.201320132013203,5.087195298198257,9.863023494660455,6,LLaMA 1B-B -,False,False
llama32_1b,base,LLaMA-3.2-1B Base,LLaMA 1B-B,LLaMA family,plus,With metadata,+,22.0,accuracy_pp_gain,17.885516398451824,accuracy_pp_gain,29.166666666666668,accuracy_pp_gain,36.49829092290163,accuracy_pp_gain,15.267175572519085,accuracy_pp_gain,0.4304602956866331,wvb_emd_gain,36.49997212465853,41.92211591199951,31.92910351913692,2.754585897982814,6.520811749649583,7.75862068965518,0.0,17.261904761904777,15.375446960667471,17.27172717271727,13.652567684748057,11.886711211615458,6,LLaMA 1B-B +,False,False
